t,x,y
0,1506,857
2,1505,857
5,1504,857
6,1502,857
9,1501,857
10,1500,857
12,1498,857
13,1497,857
15,1496,857
17,1495,857
18,1493,857
19,1492,857
21,1490,857
22,1489,857
23,1487,857
24,1485,857
26,1484,857
27,1483,857
28,1481,857
29,1479,857
30,1478,857
31,1476,857
32,1474,857
33,1470,857
34,1469,857
35,1467,857
36,1465,857
37,1461,857
38,1459,857
39,1458,857
40,1456,857
41,1454,857
42,1449,857
43,1447,857
44,1443,857
45,1441,857
46,1439,857
47,1433,857
48,1431,857
49,1427,857
50,1426,857
51,1422,857
52,1418,857
53,1416,857
54,1412,857
55,1410,857
56,1404,857
57,1402,857
58,1400,857
59,1397,857
60,1393,857
61,1389,857
62,1385,857
63,1381,857
64,1377,857
65,1375,857
66,1371,857
67,1365,857
68,1363,857
69,1359,857
70,1355,857
71,1351,855
72,1347,855
73,1345,855
74,1339,855
75,1335,855
76,1331,855
77,1327,855
78,1323,853
79,1319,853
80,1315,853
81,1311,853
82,1307,853
83,1303,853
84,1299,851
85,1297,851
86,1291,851
87,1287,851
88,1285,851
89,1282,849
90,1276,849
91,1272,849
92,1268,847
93,1266,847
94,1260,847
95,1256,845
96,1254,845
97,1250,845
98,1248,845
99,1242,845
100,1240,845
101,1236,845
102,1232,843
103,1228,843
104,1226,843
105,1222,841
106,1221,841
107,1215,841
108,1215,839
109,1209,839
110,1207,839
111,1205,837
112,1201,837
113,1197,837
114,1195,835
115,1193,835
116,1189,835
117,1187,833
118,1185,833
119,1182,833
120,1180,831
121,1178,831
122,1176,831
123,1172,829
124,1170,829
125,1166,829
126,1164,827
127,1162,827
128,1161,825
129,1159,825
130,1157,825
131,1155,825
132,1154,823
133,1152,823
134,1150,823
135,1148,821
136,1146,821
137,1145,821
138,1143,819
139,1141,819
140,1139,819
142,1138,818
143,1136,818
145,1135,818
146,1133,816
148,1132,816
149,1130,816
150,1128,815
152,1127,815
154,1126,815
156,1125,815
157,1125,813
158,1123,813
159,1121,813
161,1121,812
162,1120,812
164,1119,812
167,1117,812
172,1116,812
173,1115,812
177,1114,812
180,1113,812
183,1112,812
184,1111,812
188,1109,812
190,1108,812
193,1107,812
195,1106,812
196,1105,812
199,1104,812
200,1102,812
202,1101,812
203,1100,812
206,1098,812
208,1097,812
209,1096,812
211,1094,813
212,1093,813
214,1091,813
215,1090,813
216,1088,813
219,1087,813
220,1086,815
221,1084,815
223,1082,815
224,1081,815
226,1080,815
227,1080,816
228,1078,816
229,1076,816
231,1075,816
232,1073,816
233,1073,818
234,1072,818
235,1070,818
236,1068,818
237,1067,818
239,1065,818
241,1064,818
242,1063,818
243,1061,820
245,1059,820
247,1058,820
249,1057,820
251,1056,820
253,1055,821
255,1054,821
258,1053,821
259,1051,821
263,1050,821
266,1049,822
269,1048,822
272,1047,822
279,1046,822
282,1046,823
283,1045,823
294,1044,823
396,1044,824
406,1043,824
411,1042,824
412,1042,825
418,1042,826
426,1041,826
435,1041,827
473,1041,827
