t,x,y
0,1532,946
4,1532,945
7,1532,944
10,1532,943
11,1533,943
12,1533,941
15,1533,940
16,1534,940
17,1534,938
19,1534,937
21,1536,936
24,1537,936
25,1537,934
26,1537,933
29,1537,931
30,1538,931
31,1538,930
33,1538,928
34,1540,928
35,1540,927
36,1540,925
37,1541,925
38,1541,923
39,1543,922
43,1543,920
44,1545,919
46,1545,917
47,1546,915
49,1546,914
50,1548,914
51,1548,912
53,1549,911
56,1549,910
57,1549,908
58,1551,908
59,1551,907
61,1551,905
62,1552,905
63,1552,903
65,1554,902
66,1554,900
67,1555,900
68,1555,899
69,1555,897
70,1557,897
71,1557,896
73,1557,894
74,1558,894
75,1558,892
76,1560,891
78,1562,889
79,1562,887
80,1562,886
82,1563,886
83,1563,884
84,1563,883
85,1563,881
86,1565,881
87,1567,879
88,1567,877
90,1568,876
91,1568,874
92,1568,873
93,1568,871
95,1570,869
96,1571,869
97,1571,868
99,1573,866
100,1573,863
102,1575,861
103,1575,859
104,1575,858
105,1577,856
106,1578,856
107,1578,854
108,1580,852
109,1580,850
110,1580,849
111,1582,847
112,1584,847
113,1584,845
114,1586,843
115,1586,841
116,1588,839
117,1590,837
118,1590,836
119,1590,834
120,1591,834
121,1593,832
122,1593,828
123,1595,826
125,1597,824
126,1599,823
127,1599,821
128,1601,819
129,1602,819
130,1602,817
131,1604,815
132,1606,813
133,1606,812
134,1608,810
135,1608,808
136,1610,806
137,1612,804
138,1614,802
139,1616,800
140,1616,798
141,1616,794
142,1620,794
143,1620,792
144,1622,790
145,1622,788
146,1624,785
147,1626,783
148,1628,781
149,1628,779
150,1630,777
151,1630,775
152,1632,773
153,1633,773
154,1635,771
155,1637,767
156,1637,765
157,1639,763
158,1641,761
159,1643,759
160,1643,758
161,1645,756
162,1647,754
163,1649,750
164,1649,748
165,1651,748
166,1653,744
167,1653,742
168,1654,740
169,1654,738
170,1656,734
171,1658,734
172,1658,730
173,1660,728
174,1662,726
175,1662,725
176,1664,723
177,1664,721
178,1664,717
179,1666,715
180,1668,713
181,1668,711
182,1670,709
183,1670,707
184,1672,705
185,1672,704
186,1672,702
187,1674,700
188,1676,698
189,1676,696
190,1678,694
191,1678,692
192,1678,691
193,1680,689
194,1680,687
195,1681,687
196,1681,685
197,1683,685
198,1683,682
199,1683,680
200,1685,678
201,1685,676
202,1687,674
203,1687,672
204,1688,672
205,1688,670
206,1690,669
207,1690,667
209,1690,665
210,1692,664
211,1692,662
212,1693,662
213,1693,660
215,1693,659
216,1695,657
218,1695,656
219,1695,654
220,1697,654
221,1697,653
222,1697,651
223,1699,649
225,1699,648
227,1700,648
228,1700,646
229,1700,644
230,1700,643
231,1701,643
232,1701,641
234,1701,640
235,1701,638
236,1703,638
237,1703,637
239,1704,637
241,1704,636
243,1704,634
244,1706,634
245,1706,633
249,1706,632
252,1706,631
256,1706,630
259,1707,630
260,1707,628
264,1707,627
267,1707,626
268,1708,626
274,1708,625
275,1709,625
280,1709,623
281,1711,623
288,1711,622
296,1712,622
298,1712,621
302,1712,620
304,1713,620
305,1713,619
309,1714,619
310,1714,618
319,1714,616
320,1715,616
323,1715,615
329,1716,614
335,1716,613
337,1717,613
341,1718,613
347,1718,612
354,1719,612
356,1719,611
461,1720,611
467,1721,611
486,1721,610
487,1722,610
527,1722,610
