t,x,y
0,811,444
3,810,444
6,810,445
8,810,446
12,810,447
13,809,447
14,809,449
17,809,450
20,809,451
21,808,451
23,808,453
25,806,453
26,806,454
27,806,456
29,806,457
31,806,458
32,805,458
33,805,460
34,805,462
36,805,463
38,805,464
39,803,466
40,803,468
41,803,469
42,802,469
43,802,471
44,800,471
45,800,473
46,800,474
47,800,476
48,800,478
49,800,479
50,800,481
51,800,482
52,798,484
53,798,486
54,798,488
55,798,490
56,798,493
57,798,495
58,798,497
59,798,499
60,798,500
61,798,502
62,798,506
63,798,508
64,798,510
65,798,513
66,798,515
67,798,517
68,798,521
69,798,523
70,798,527
71,798,529
72,798,530
73,798,534
74,798,536
75,800,538
76,800,542
77,800,544
78,800,550
79,800,552
80,802,556
81,802,558
82,802,563
83,804,567
84,804,569
85,804,571
86,804,575
87,806,579
88,806,583
89,808,585
90,808,589
91,810,593
92,810,595
93,812,601
94,812,605
95,812,607
96,812,610
97,814,614
98,814,618
99,814,620
100,814,624
101,816,630
102,816,632
103,816,636
104,818,640
105,818,644
106,820,646
107,820,652
108,822,654
109,822,658
110,824,660
111,824,666
112,824,668
113,826,674
114,826,676
115,828,678
116,830,682
117,830,688
118,832,690
119,832,694
120,832,696
121,832,701
122,834,703
123,836,707
124,836,709
125,836,711
126,836,715
127,838,717
128,838,719
129,840,723
130,840,725
131,840,729
132,840,731
133,840,732
134,842,736
135,842,738
136,844,740
137,844,742
138,844,743
139,844,745
140,844,747
141,844,748
142,845,750
143,845,752
144,845,754
145,847,756
146,847,757
147,847,759
148,847,761
149,847,762
150,847,764
151,847,766
152,849,768
153,849,770
154,849,771
155,849,773
156,849,775
157,849,776
158,849,778
159,851,778
160,851,779
161,851,781
162,851,783
163,851,784
165,852,786
166,852,787
168,852,789
169,852,790
171,852,792
172,852,793
173,852,795
175,852,796
177,852,797
178,852,799
179,852,800
182,852,801
183,852,803
184,852,804
186,852,806
188,852,807
189,852,808
191,852,810
192,852,811
195,852,812
196,852,814
198,852,815
200,852,816
201,852,818
203,852,819
205,851,819
206,851,820
207,851,822
209,851,823
211,851,825
213,851,826
215,851,827
216,850,828
218,850,830
221,850,831
222,848,831
223,848,833
224,848,834
226,847,836
228,847,837
229,847,838
231,847,840
232,845,840
233,845,841
234,845,843
236,845,844
237,844,844
238,844,846
239,844,848
241,844,849
243,843,849
244,843,851
245,843,852
246,841,852
247,841,854
250,841,855
252,841,856
253,841,858
254,840,858
256,840,859
259,840,860
260,838,860
263,838,861
270,837,861
272,837,862
295,836,862
314,835,861
317,835,860
318,834,860
319,834,859
321,833,859
322,833,857
323,831,857
324,831,856
326,830,856
327,830,854
329,828,854
330,828,853
331,827,853
332,827,851
334,825,851
335,825,850
336,824,850
337,824,848
339,822,848
340,822,847
341,821,847
342,821,845
343,821,844
344,819,844
345,817,842
347,817,840
348,816,840
349,816,838
350,814,838
351,814,837
352,812,835
354,812,833
356,811,832
357,809,832
358,808,830
360,808,829
361,806,829
362,804,825
363,802,825
365,802,823
366,801,822
368,801,820
369,801,819
370,799,819
371,797,819
372,797,817
373,796,815
375,796,814
376,794,814
377,794,812
379,793,811
381,793,809
382,791,809
383,791,808
384,790,808
386,790,806
387,790,805
389,790,803
390,788,803
391,788,802
393,787,800
394,785,800
396,785,799
399,785,798
401,785,797
404,785,796
406,785,795
407,784,795
409,784,793
411,784,792
415,784,791
417,784,790
423,784,789
425,784,788
428,784,787
432,784,786
436,784,785
438,784,784
442,784,783
446,784,782
450,784,781
452,784,780
455,784,779
459,785,779
461,785,778
464,786,778
465,786,777
468,786,776
474,787,776
475,787,774
481,788,774
483,788,773
487,788,772
495,788,771
498,789,771
507,789,770
512,790,770
542,790,770
