t,x,y
0,1011,905
9,1012,905
10,1012,904
14,1012,902
16,1013,902
19,1013,901
20,1014,901
22,1014,900
25,1015,900
26,1015,899
28,1016,899
29,1016,897
31,1018,897
33,1018,896
35,1018,895
36,1019,895
37,1019,893
38,1021,893
40,1022,893
41,1022,892
43,1024,892
44,1024,891
46,1025,891
47,1025,889
48,1027,889
49,1027,888
50,1028,888
51,1028,886
52,1030,886
53,1032,886
54,1032,884
55,1033,884
56,1033,883
57,1035,883
59,1036,881
60,1038,881
61,1038,880
62,1040,880
63,1040,878
64,1041,878
65,1043,878
66,1043,876
67,1045,876
68,1045,875
69,1046,875
70,1046,873
71,1048,873
72,1048,871
73,1050,871
74,1051,871
75,1051,870
76,1053,870
77,1055,868
78,1055,866
79,1056,866
80,1058,864
81,1060,864
83,1060,863
84,1061,863
85,1063,863
86,1063,861
87,1065,861
88,1065,859
89,1066,859
90,1066,858
91,1068,858
92,1070,856
93,1072,856
94,1072,854
95,1074,852
97,1075,852
98,1075,851
99,1077,851
100,1079,849
101,1079,847
102,1080,847
103,1082,847
105,1084,846
106,1084,844
107,1085,844
108,1085,842
109,1087,842
110,1087,841
111,1089,841
112,1090,839
113,1092,839
114,1092,837
115,1094,837
117,1094,836
118,1095,836
119,1095,834
120,1097,834
121,1097,833
122,1099,833
123,1100,833
124,1100,831
126,1102,831
127,1103,829
129,1105,829
132,1106,829
133,1106,828
134,1108,826
135,1110,826
139,1111,826
140,1111,825
142,1112,825
145,1113,825
147,1114,825
150,1114,824
154,1115,824
160,1116,823
168,1117,822
171,1118,822
188,1119,822
193,1119,821
196,1120,821
199,1121,821
202,1121,820
209,1122,820
210,1122,819
216,1124,819
224,1125,819
229,1125,818
234,1126,818
249,1126,817
253,1127,817
269,1128,817
276,1128,816
284,1129,816
315,1129,816
