t,x,y
0,450,599
3,451,599
5,451,600
6,453,600
9,453,601
9,454,601
10,456,601
14,457,601
17,458,601
17,458,603
18,460,603
20,462,603
23,463,603
24,464,604
26,465,604
29,466,604
31,467,604
33,469,604
33,469,605
34,470,605
35,472,605
38,473,607
40,475,607
42,476,607
44,477,607
46,478,607
47,478,608
47,480,608
51,481,608
54,482,608
56,483,608
58,483,609
59,484,609
64,486,609
68,486,610
70,487,610
78,488,610
79,488,611
88,488,613
91,488,614
93,489,614
97,490,615
103,491,616
109,491,617
109,492,617
113,492,618
123,492,619
123,493,619
129,494,619
131,494,620
137,495,620
138,495,621
149,495,622
157,496,622
162,497,623
177,497,624
187,498,624
200,498,625
233,498,626
237,499,626
240,499,627
249,499,628
255,499,629
257,499,630
272,499,631
293,499,632
345,499,632
