t,x,y
0,782,991
4,781,991
5,781,992
6,779,992
9,778,992
12,777,992
16,776,992
17,775,992
20,774,992
24,773,992
26,772,992
26,771,992
31,769,992
32,768,992
34,767,992
36,766,992
40,765,992
41,763,992
42,762,992
43,762,991
44,760,991
46,759,991
47,757,991
49,757,990
50,756,990
51,754,990
52,753,990
54,751,988
55,750,988
56,748,988
59,747,987
60,745,987
61,744,987
62,742,985
63,740,985
64,739,985
65,739,983
66,737,983
67,735,983
68,734,983
69,732,983
70,730,981
71,728,981
72,726,980
73,724,980
75,723,980
75,723,978
76,721,978
77,720,978
78,718,978
79,716,976
80,714,976
81,712,976
82,711,974
83,709,974
84,707,974
85,705,972
86,703,972
87,699,970
88,698,970
89,696,970
90,694,970
91,693,970
92,691,970
93,689,969
94,687,969
95,683,967
96,681,967
97,680,967
98,676,965
99,674,965
100,670,965
101,668,963
102,666,963
103,664,963
104,663,963
105,661,961
106,659,961
107,657,961
108,653,959
109,652,959
110,650,957
111,648,957
112,646,957
113,644,957
114,641,955
115,639,955
116,637,955
117,635,955
118,633,953
119,632,953
120,630,951
121,628,951
122,624,951
123,622,951
124,620,949
125,618,949
126,617,949
127,615,949
128,613,948
129,611,948
130,609,946
131,608,946
132,606,946
133,604,944
134,602,944
135,600,944
136,599,942
137,597,942
138,595,942
139,593,940
140,591,940
141,589,938
142,588,938
143,586,936
146,584,936
146,583,936
147,581,936
148,581,935
149,579,935
150,578,933
152,576,933
153,572,931
156,570,931
156,570,930
157,569,930
158,567,930
159,567,928
160,565,928
161,565,926
163,564,926
164,563,926
166,561,924
166,561,923
168,559,923
171,558,923
172,558,921
174,557,921
174,555,919
176,555,918
181,554,917
182,554,916
185,553,915
191,553,914
191,551,914
192,551,912
196,550,912
198,550,911
204,550,910
206,549,910
210,549,909
212,548,909
214,548,908
219,547,908
222,547,907
226,546,907
233,546,906
237,545,906
431,545,906
