t,x,y
0,1725,454
53,1725,454
55,1725,454
59,1723,454
61,1722,454
62,1721,456
64,1719,456
67,1718,456
68,1717,456
69,1715,456
72,1714,456
73,1713,456
75,1711,456
77,1710,456
78,1709,456
80,1707,456
81,1706,457
82,1704,457
83,1702,457
85,1701,457
86,1700,457
87,1698,457
88,1696,457
89,1695,457
91,1693,457
92,1689,459
93,1688,459
94,1686,459
95,1684,459
96,1683,459
97,1681,459
98,1679,461
99,1677,461
100,1675,461
101,1672,461
102,1670,463
103,1668,463
104,1666,463
105,1662,463
106,1660,463
107,1659,463
108,1653,465
109,1651,465
110,1647,467
111,1645,467
112,1641,467
113,1639,467
114,1637,469
115,1631,471
116,1627,471
117,1623,471
118,1621,471
119,1617,471
120,1615,473
121,1614,473
122,1608,475
123,1606,475
124,1600,475
125,1596,477
126,1594,477
127,1588,479
128,1584,481
129,1580,481
130,1576,481
131,1572,483
132,1566,483
133,1562,485
134,1558,485
135,1554,487
136,1550,487
137,1542,489
138,1540,491
139,1534,491
140,1530,493
141,1524,493
142,1520,495
143,1516,495
144,1512,497
145,1504,497
146,1498,499
147,1494,501
148,1488,503
149,1484,503
150,1480,505
151,1472,505
152,1466,507
153,1462,509
154,1456,511
155,1452,511
156,1446,513
157,1440,515
158,1434,517
159,1428,517
160,1426,519
161,1418,521
162,1412,523
163,1406,525
164,1402,525
165,1396,527
166,1390,529
167,1384,531
168,1380,533
169,1372,535
170,1368,537
171,1362,539
172,1354,541
173,1350,543
174,1344,545
175,1338,547
176,1336,549
177,1328,551
178,1322,553
179,1318,555
180,1312,557
181,1306,559
182,1302,561
183,1296,563
184,1290,563
185,1282,567
186,1278,569
187,1272,571
188,1268,573
189,1264,575
190,1258,577
191,1254,579
192,1248,581
193,1244,583
194,1238,585
195,1234,587
196,1230,589
197,1222,591
198,1218,593
199,1214,595
200,1210,597
201,1202,599
202,1198,603
203,1194,603
204,1190,605
205,1184,609
206,1182,609
207,1178,610
208,1172,612
209,1166,614
210,1164,616
211,1158,618
212,1154,620
213,1150,622
214,1148,622
215,1143,624
216,1141,624
217,1135,626
218,1131,628
219,1129,630
220,1125,630
221,1121,632
222,1119,634
223,1115,634
224,1111,636
225,1109,636
226,1105,638
227,1103,640
228,1099,640
229,1097,642
230,1095,642
231,1091,644
232,1087,646
233,1083,646
235,1081,648
236,1080,648
237,1076,650
238,1074,650
239,1072,650
240,1071,652
241,1069,652
242,1067,652
243,1065,654
244,1063,654
245,1062,654
246,1060,654
247,1058,656
248,1056,656
249,1055,656
251,1053,656
252,1052,656
253,1050,658
255,1048,658
256,1047,658
259,1046,658
260,1044,658
261,1043,658
264,1041,658
266,1040,658
268,1039,658
269,1038,658
273,1037,658
276,1036,658
278,1035,658
280,1033,658
282,1032,658
286,1031,658
287,1030,658
288,1030,656
289,1028,656
292,1027,656
293,1026,656
294,1026,654
295,1024,654
297,1023,654
298,1023,653
302,1021,653
303,1020,653
305,1019,651
307,1017,650
311,1016,650
312,1015,649
316,1015,647
317,1013,647
318,1013,645
319,1012,645
322,1012,644
323,1010,644
325,1010,643
326,1009,643
328,1009,641
329,1008,640
331,1008,638
333,1006,637
336,1006,636
337,1005,634
338,1005,632
339,1003,632
340,1003,631
341,1003,629
342,1001,627
343,1001,625
345,1000,624
346,1000,622
347,998,620
348,998,619
349,998,617
350,996,617
351,996,615
352,994,613
353,994,612
354,994,610
355,994,606
356,992,604
357,990,602
358,988,602
359,988,598
360,988,596
361,987,592
362,985,590
363,985,588
364,983,587
365,983,585
366,983,581
367,981,579
368,979,577
369,979,575
370,977,571
371,975,569
372,975,567
373,973,563
374,973,561
375,971,559
376,969,557
377,969,556
378,967,552
379,965,550
380,963,546
381,961,544
382,961,542
383,959,540
384,959,538
385,957,536
386,955,534
387,953,532
388,951,528
389,949,526
390,947,524
391,945,520
392,943,518
393,941,516
394,941,514
395,939,513
396,937,511
397,935,507
398,933,507
399,932,505
400,930,501
401,928,499
402,926,499
403,926,497
404,922,493
405,920,491
406,918,489
407,918,487
408,916,485
409,914,485
410,912,481
411,912,480
412,908,478
413,906,478
414,904,474
416,900,472
417,899,472
418,897,470
419,897,468
420,897,466
421,893,466
422,893,464
423,891,463
424,889,463
425,887,461
426,885,459
427,883,459
428,883,457
429,882,457
430,880,455
431,880,453
432,878,453
433,878,452
434,877,452
435,875,450
436,873,448
438,871,448
439,870,448
440,870,446
441,868,446
442,868,444
444,867,444
445,865,443
447,863,441
450,862,441
452,861,441
453,861,440
455,860,440
457,860,439
458,859,439
460,859,437
463,857,437
469,856,437
472,856,436
482,855,436
548,855,436
561,854,436
571,853,436
580,852,436
586,851,436
594,850,436
599,849,436
603,848,436
609,847,436
611,846,436
616,845,436
619,844,436
620,844,438
622,842,438
626,841,438
628,840,438
631,839,438
635,838,438
637,837,438
638,837,439
639,836,439
642,834,439
646,833,439
648,832,439
651,831,439
655,830,439
656,830,440
658,829,440
661,828,440
663,827,440
668,826,440
671,825,440
675,824,440
678,823,441
688,822,441
690,821,441
695,820,441
703,819,441
709,818,441
710,818,442
712,816,442
721,815,442
728,814,442
734,813,442
741,813,443
742,812,443
750,811,443
821,811,443
