t,x,y
0,917,821
6,917,820
15,916,820
22,915,820
28,915,819
144,914,819
152,913,819
154,912,820
161,911,820
165,910,820
168,909,820
171,908,820
175,907,820
179,907,821
180,905,821
181,904,821
183,902,821
186,901,821
189,900,821
190,900,822
191,899,822
192,897,822
195,896,822
197,896,823
198,894,823
199,893,823
201,891,823
203,890,823
205,890,824
206,889,824
207,887,824
210,886,824
211,884,826
213,883,826
215,882,826
216,880,826
217,880,827
218,878,827
219,877,827
221,877,829
222,875,829
223,874,829
224,872,829
226,871,830
228,869,830
229,868,830
230,868,832
231,866,832
232,865,832
233,863,832
234,863,834
235,861,834
237,860,834
238,859,834
239,857,834
240,855,835
241,853,835
242,852,835
244,850,835
245,849,835
246,847,835
247,845,837
248,843,837
249,842,837
250,840,839
251,838,839
252,836,839
253,835,839
254,833,839
255,831,841
256,829,841
257,828,841
258,826,841
259,824,843
260,822,843
261,821,843
262,819,845
263,817,845
264,815,845
265,814,845
266,812,845
267,810,845
268,809,845
269,807,847
270,805,847
271,803,847
272,801,847
273,800,847
274,798,847
275,796,849
276,794,849
277,793,849
278,791,849
279,789,849
280,788,849
281,786,849
282,784,849
283,783,849
284,781,850
286,779,850
287,778,850
288,776,850
289,775,850
290,773,850
291,771,850
292,770,850
293,770,852
294,768,852
295,766,852
297,765,852
298,764,852
301,762,852
302,761,852
303,759,852
305,758,852
307,757,852
309,756,852
311,755,852
313,754,852
316,752,852
319,751,852
322,750,852
325,749,852
328,748,853
332,747,853
334,746,853
338,745,853
344,744,853
346,743,853
350,742,853
357,741,853
371,740,853
379,739,853
385,738,853
393,737,853
397,736,853
400,735,853
405,734,853
411,733,853
414,732,853
416,731,853
419,730,852
424,729,852
428,728,852
429,728,851
430,727,851
433,725,851
437,724,851
440,723,851
442,722,851
443,722,849
445,721,849
450,720,849
453,720,848
454,719,848
455,717,848
459,716,848
462,716,847
465,715,847
468,714,847
469,714,846
473,712,846
474,712,845
477,712,843
478,711,843
481,711,842
484,710,842
486,710,841
489,709,841
490,709,840
493,708,840
494,708,838
497,708,837
499,707,837
500,707,836
502,707,834
503,705,834
505,704,834
506,704,833
508,703,833
512,703,832
514,701,831
517,701,830
519,700,830
522,699,830
523,699,828
524,698,828
527,698,827
530,697,827
531,697,826
535,695,826
537,695,825
539,694,825
540,694,823
541,693,823
548,693,822
554,692,822
560,692,821
561,690,821
640,690,821
