t,x,y
0,1668,833
183,1668,832
188,1667,832
190,1666,832
191,1666,830
192,1666,829
193,1665,829
194,1665,827
196,1663,827
197,1662,825
199,1660,824
201,1659,824
202,1659,822
203,1657,820
204,1655,820
205,1655,819
206,1653,819
207,1653,817
208,1652,817
209,1652,815
210,1650,815
211,1648,813
213,1647,813
214,1647,812
215,1645,810
216,1643,810
217,1641,808
218,1641,807
219,1639,807
220,1638,805
221,1636,803
222,1634,801
223,1632,799
224,1630,799
225,1626,795
226,1624,795
227,1622,793
228,1620,791
229,1618,789
230,1614,787
231,1612,787
232,1610,783
233,1608,783
234,1606,781
235,1604,777
236,1602,777
237,1598,775
238,1596,773
239,1592,771
240,1590,769
241,1588,767
242,1586,765
243,1584,763
244,1578,759
245,1576,757
246,1572,755
247,1572,753
248,1567,749
249,1565,749
250,1563,747
251,1559,743
252,1557,741
253,1553,739
254,1551,737
255,1547,733
256,1543,731
257,1543,730
258,1539,728
259,1535,726
260,1533,722
261,1529,720
262,1527,718
263,1523,714
264,1521,714
265,1517,710
266,1513,708
267,1513,704
268,1507,702
269,1505,700
270,1505,698
271,1497,694
272,1497,690
273,1495,688
274,1493,686
275,1489,682
276,1485,680
277,1483,678
278,1481,674
279,1477,672
280,1475,670
281,1473,668
282,1471,664
283,1467,662
284,1463,658
285,1461,658
286,1459,654
287,1457,652
288,1455,650
289,1453,648
290,1451,646
291,1449,644
292,1445,640
293,1443,638
294,1441,636
295,1439,634
296,1437,632
297,1433,628
298,1432,628
299,1430,624
300,1428,622
301,1426,620
302,1426,618
303,1424,616
304,1420,614
305,1420,613
306,1418,611
307,1416,609
308,1414,607
309,1412,605
310,1410,603
311,1408,599
312,1406,597
313,1406,595
314,1404,595
315,1402,593
316,1402,589
317,1400,589
318,1398,585
319,1396,583
320,1396,581
321,1395,581
322,1395,579
323,1393,578
324,1391,576
325,1389,574
326,1389,572
327,1389,570
328,1387,570
329,1387,568
330,1387,567
331,1385,565
332,1385,563
333,1384,563
334,1384,561
335,1382,560
336,1382,558
337,1380,556
339,1380,554
340,1379,554
341,1379,553
342,1377,553
343,1377,551
344,1377,549
345,1375,549
347,1375,548
348,1374,548
349,1374,546
350,1372,546
352,1372,545
353,1371,545
354,1371,543
356,1369,543
358,1369,542
360,1368,542
362,1368,541
363,1367,541
365,1367,540
366,1366,540
370,1364,540
373,1364,539
404,1363,539
449,1363,539
451,1362,538
454,1361,538
459,1360,538
460,1360,536
461,1358,536
465,1357,536
467,1356,536
468,1354,536
469,1354,535
471,1353,535
475,1352,535
478,1351,535
480,1351,534
481,1350,534
483,1348,534
488,1347,534
490,1346,534
494,1345,534
495,1345,532
499,1344,532
504,1343,532
509,1342,532
513,1341,532
519,1340,532
523,1340,531
524,1339,531
528,1337,531
535,1336,531
537,1335,531
542,1335,530
543,1334,530
547,1333,530
551,1332,530
552,1330,530
555,1329,529
557,1328,529
560,1327,529
561,1326,529
563,1324,529
566,1323,529
570,1322,529
572,1321,529
573,1320,527
576,1318,527
579,1317,527
581,1316,527
582,1316,526
583,1314,526
585,1313,526
589,1312,526
592,1311,526
594,1310,526
596,1309,526
603,1308,526
605,1308,525
609,1307,525
616,1306,525
649,1306,525
