t,x,y
0,1039,779
5,1039,779
8,1039,778
10,1039,777
12,1039,775
14,1038,775
15,1038,774
16,1038,772
18,1038,771
21,1037,770
22,1037,769
23,1037,767
25,1037,766
26,1037,764
27,1035,764
28,1035,762
29,1035,761
30,1035,759
31,1034,759
32,1034,757
33,1034,756
34,1034,754
35,1032,752
36,1032,750
37,1032,749
38,1030,747
39,1030,745
40,1030,743
41,1028,742
42,1028,740
43,1028,738
45,1028,737
46,1027,735
47,1027,733
48,1025,731
49,1023,729
50,1023,725
51,1021,723
52,1021,721
53,1021,720
54,1019,718
55,1019,716
56,1017,716
57,1015,710
58,1015,708
59,1013,706
60,1013,705
61,1013,703
62,1011,701
63,1011,699
64,1010,697
65,1010,695
66,1008,694
67,1008,692
68,1008,688
69,1008,686
70,1006,684
71,1006,680
72,1004,678
73,1004,676
74,1002,672
75,1000,670
76,1000,668
77,1000,667
78,998,665
79,998,663
80,996,661
81,994,659
82,994,657
83,994,653
84,992,651
85,992,649
86,990,646
87,988,646
88,986,642
89,986,640
90,986,638
91,984,636
92,984,634
93,984,633
94,983,631
95,981,627
96,981,625
97,979,623
98,979,621
99,979,619
100,977,618
101,977,616
102,975,614
103,973,612
104,973,610
105,973,606
106,971,604
107,971,602
108,969,600
109,969,599
110,967,597
111,967,595
112,965,593
113,965,591
114,965,589
115,963,586
116,963,584
117,962,582
118,962,580
119,962,578
120,960,574
121,958,574
122,958,570
123,958,568
124,958,567
125,956,565
126,956,563
128,954,562
129,954,560
130,952,558
131,952,556
132,952,555
133,951,555
134,951,553
135,951,549
136,951,547
137,949,547
138,949,546
139,949,544
140,949,542
141,947,542
142,947,541
143,946,539
144,946,537
145,946,535
146,946,533
147,946,532
148,944,532
149,944,530
150,944,529
151,942,529
152,942,527
153,942,525
154,942,524
156,942,522
157,941,522
158,941,520
159,941,519
160,941,517
162,939,516
165,939,515
167,939,513
169,939,512
172,939,511
173,938,511
174,938,510
177,938,508
180,938,507
183,938,506
186,938,505
190,938,504
194,938,503
197,938,502
201,938,501
203,938,500
206,938,499
209,938,498
212,938,497
215,938,496
217,938,495
220,938,494
222,938,493
224,938,492
226,938,491
229,938,490
230,938,489
232,938,487
236,938,486
237,938,485
240,939,484
241,939,482
244,939,481
245,941,481
246,941,479
247,941,478
250,941,476
252,941,475
254,942,475
255,942,474
256,942,472
258,942,471
260,942,470
262,942,469
264,942,468
267,942,467
269,942,466
270,943,466
272,943,464
274,943,463
276,943,462
279,943,461
281,943,460
282,945,460
286,945,459
287,945,457
292,945,456
298,945,455
299,946,455
305,946,454
309,946,453
312,947,453
317,947,452
319,948,452
327,949,452
329,949,451
337,949,450
338,950,450
344,950,449
346,951,449
350,952,449
356,952,448
358,953,448
361,953,446
376,953,445
379,954,445
388,954,444
390,955,444
406,956,444
409,956,443
415,957,443
416,957,442
426,957,441
431,957,440
435,958,440
441,958,439
458,958,438
484,958,438
