t,x,y
0,860,639
6,861,639
8,862,639
10,862,640
12,862,641
15,862,642
17,863,642
18,863,643
20,865,645
22,865,646
23,866,646
24,866,648
25,868,648
26,868,649
27,870,651
29,870,653
30,871,654
32,873,656
33,873,658
34,875,658
35,875,659
37,876,661
38,878,662
39,880,664
41,880,666
42,881,666
43,881,668
44,883,670
45,883,671
46,885,671
47,887,671
48,887,675
49,887,677
50,888,677
51,888,679
52,890,679
53,890,681
54,892,682
55,894,682
56,894,684
57,894,686
58,894,687
60,895,689
61,895,690
62,897,690
63,897,692
64,899,694
66,899,696
67,899,697
68,900,697
69,900,699
70,902,700
72,904,702
73,904,704
74,904,705
75,906,705
76,906,707
77,906,709
78,907,711
79,907,712
80,909,714
81,911,714
82,913,718
84,913,720
85,913,721
86,917,723
87,919,725
88,919,727
89,921,727
90,921,729
91,923,731
92,923,733
93,926,736
94,928,736
95,928,738
96,930,742
97,932,744
98,934,746
99,936,746
100,936,748
101,938,752
102,940,752
103,944,753
104,944,755
105,946,759
106,950,759
107,950,761
108,952,763
109,954,765
110,958,767
111,960,769
112,962,773
113,964,773
114,964,775
115,968,779
116,970,779
117,971,781
118,973,783
119,975,785
120,977,787
121,981,789
122,981,790
123,983,792
124,985,794
125,989,796
126,989,798
127,991,800
128,993,802
129,995,802
130,997,804
131,997,806
132,1001,808
133,1003,808
134,1003,809
135,1005,811
136,1005,813
137,1006,813
138,1008,815
139,1010,817
140,1010,819
141,1012,821
142,1012,823
143,1014,823
144,1015,825
146,1015,826
147,1017,826
148,1017,828
149,1019,830
150,1021,832
151,1023,832
152,1023,833
153,1023,835
154,1023,837
155,1024,837
156,1024,838
157,1026,838
158,1026,840
159,1026,842
160,1028,842
161,1028,843
163,1028,845
164,1028,846
165,1029,846
166,1029,848
167,1029,849
169,1029,851
171,1029,852
172,1031,853
173,1031,855
175,1032,855
176,1032,857
177,1032,858
178,1032,860
179,1032,862
181,1032,863
183,1032,864
184,1032,866
185,1032,867
187,1032,869
188,1034,869
189,1034,870
190,1034,872
191,1034,874
193,1034,875
194,1034,876
196,1034,878
197,1034,879
199,1034,881
200,1034,882
202,1034,883
203,1034,885
204,1034,886
206,1034,888
207,1034,889
208,1034,891
209,1034,892
211,1034,894
213,1034,895
214,1034,896
215,1034,898
217,1034,899
219,1034,900
221,1034,902
222,1034,903
224,1034,904
225,1034,906
227,1034,907
229,1034,908
232,1034,909
233,1034,911
235,1034,912
238,1034,913
241,1034,914
242,1035,914
243,1035,916
246,1035,917
249,1035,918
252,1035,919
256,1035,920
262,1035,921
266,1035,922
269,1036,922
274,1036,923
279,1036,924
286,1037,924
287,1037,925
297,1037,926
342,1038,926
373,1037,926
384,1036,926
390,1035,926
391,1035,925
398,1034,925
403,1033,925
409,1032,925
413,1031,925
420,1030,925
424,1029,925
432,1028,925
434,1028,924
437,1027,924
441,1026,924
443,1026,923
444,1025,923
447,1025,922
448,1023,922
452,1022,922
453,1022,921
455,1021,921
458,1020,921
459,1020,919
460,1018,919
461,1018,918
462,1016,918
467,1015,916
470,1014,916
471,1014,915
472,1012,915
475,1011,914
478,1010,914
479,1010,912
481,1009,912
483,1009,911
484,1007,911
487,1007,910
488,1006,910
491,1005,910
492,1005,909
493,1005,907
495,1003,907
498,1003,906
500,1002,906
503,1001,905
508,1001,904
511,1000,903
515,1000,902
517,1000,901
518,999,901
520,999,899
523,999,898
525,998,898
526,998,897
528,998,896
531,998,895
533,997,895
534,997,893
537,997,892
539,997,891
541,996,891
542,996,889
544,996,888
545,994,886
548,994,885
551,994,884
553,994,883
554,993,883
556,993,882
559,991,880
563,991,879
565,990,878
569,990,877
573,989,877
574,989,876
581,989,875
582,989,875
