t,x,y
0,751,818
4,751,817
17,751,816
25,750,816
32,750,815
36,749,815
39,749,814
48,748,814
52,748,813
62,747,813
65,747,812
68,746,812
76,746,811
83,746,810
91,746,809
96,746,808
101,746,807
105,746,806
112,746,805
114,747,805
116,747,804
119,747,803
121,746,803
123,746,802
128,746,801
131,746,800
132,744,800
135,743,800
137,743,799
141,742,799
142,742,797
144,740,796
147,739,796
148,739,795
151,738,793
153,737,793
155,737,792
156,735,792
158,735,791
159,734,791
161,733,791
162,733,789
163,731,789
165,730,789
166,730,788
167,728,788
168,726,788
169,726,786
170,725,786
171,723,786
172,723,785
174,722,785
175,722,783
176,718,783
177,716,781
180,714,781
181,713,780
182,711,780
184,709,780
185,708,778
186,706,778
187,706,776
188,704,776
189,702,775
190,701,775
191,699,775
192,697,773
193,695,773
194,693,771
196,692,769
197,688,769
198,688,767
199,686,767
200,684,765
201,680,765
202,680,763
203,679,763
204,677,762
205,675,762
206,673,760
207,671,758
208,667,758
209,667,756
210,665,756
211,664,754
212,662,754
213,660,752
214,656,752
215,654,750
216,652,748
218,650,746
219,649,746
220,647,744
221,645,744
222,643,743
223,641,741
224,639,741
225,637,739
226,635,737
227,633,737
228,632,737
229,632,735
230,630,735
231,628,733
232,626,731
233,624,729
234,622,729
235,620,727
236,618,725
237,618,723
238,617,723
239,613,721
240,613,720
241,611,720
242,611,718
243,607,718
244,607,716
245,606,714
246,604,712
247,602,712
248,600,710
250,598,708
251,597,708
252,597,707
253,595,705
254,593,703
255,591,701
257,589,701
258,589,700
259,587,698
261,586,696
262,584,694
263,582,692
264,582,690
265,580,690
266,580,689
267,579,689
268,577,687
270,577,685
271,575,685
272,575,684
273,574,684
274,572,682
276,572,680
277,570,680
278,570,679
281,569,679
282,568,677
283,568,675
284,566,675
286,566,674
287,564,674
290,563,672
292,563,671
293,562,671
295,562,670
299,561,670
301,561,669
309,561,668
312,560,668
323,560,667
342,560,666
346,559,666
357,559,665
365,559,664
369,559,663
374,558,663
376,558,662
379,558,661
382,558,660
386,558,659
389,558,658
393,557,658
394,557,657
397,557,655
399,557,654
402,557,653
407,557,652
408,557,651
412,557,650
416,557,649
420,557,648
421,557,646
424,557,645
428,557,644
431,557,643
433,557,642
439,557,641
443,557,640
445,557,639
447,558,639
448,558,638
454,558,636
456,558,635
458,558,634
467,558,633
472,558,632
473,559,632
478,559,631
560,559,631
