t,x,y
0,559,632
5,559,633
6,559,634
9,559,635
10,559,637
14,559,638
16,558,639
19,558,640
20,557,640
22,557,642
24,557,643
25,557,644
27,555,646
28,555,647
30,555,648
32,555,650
33,555,651
34,554,651
35,554,653
36,554,654
37,552,654
38,552,656
39,552,658
40,552,659
41,550,661
43,550,663
44,550,664
45,550,666
46,550,667
47,548,669
48,548,671
49,548,673
50,548,674
51,548,676
53,548,677
54,547,679
55,547,681
56,547,683
57,547,684
58,545,686
59,545,688
61,543,691
62,543,693
64,543,695
65,543,696
66,543,698
67,543,699
68,543,701
69,543,703
70,543,704
71,543,706
72,543,708
73,543,709
74,543,711
76,543,712
77,543,714
78,543,715
80,543,717
81,541,718
83,541,720
84,541,721
85,541,723
86,541,725
89,541,726
90,541,727
92,541,729
94,541,730
96,540,731
98,540,732
100,540,733
104,540,734
107,540,735
110,540,736
115,540,737
121,540,738
124,540,739
130,540,740
136,540,741
143,540,742
147,539,742
148,539,744
152,538,744
153,538,745
159,538,746
163,538,747
167,538,748
172,538,749
178,538,750
182,538,751
190,538,752
199,538,753
212,538,754
234,538,755
235,539,755
261,539,756
267,540,756
354,540,757
360,540,758
367,541,758
368,541,759
375,541,760
379,541,760
