t,x,y
0,1099,715
9,1099,715
14,1098,715
18,1097,715
22,1096,715
26,1095,715
29,1094,715
33,1093,715
36,1092,715
39,1091,715
42,1090,715
47,1089,715
48,1087,715
50,1086,715
54,1086,716
55,1085,716
57,1083,716
58,1082,716
62,1081,716
63,1081,717
64,1079,717
65,1077,717
67,1076,717
69,1075,717
70,1075,718
71,1073,718
73,1072,718
74,1070,718
76,1069,718
77,1069,720
78,1067,720
79,1066,720
81,1064,721
82,1063,721
83,1061,721
85,1060,721
86,1060,723
87,1056,723
89,1054,723
90,1052,724
91,1051,724
92,1049,724
94,1047,724
95,1046,724
96,1044,726
97,1042,726
99,1041,726
100,1039,728
101,1038,728
102,1036,728
103,1036,729
104,1034,729
105,1033,729
106,1031,729
107,1029,731
108,1027,731
109,1025,731
110,1024,731
111,1022,733
112,1020,733
113,1018,733
114,1017,735
115,1015,735
116,1013,735
117,1011,735
118,1010,737
119,1008,737
120,1006,739
121,1004,739
123,1003,739
124,1001,740
125,999,740
126,997,740
127,996,740
128,996,742
129,994,742
130,990,742
131,990,744
132,989,744
133,987,744
134,985,744
135,983,746
136,982,746
137,980,748
138,978,748
140,976,748
141,975,748
142,975,749
143,973,749
144,972,749
145,970,749
146,968,749
147,968,751
148,967,751
149,965,751
150,963,751
152,962,751
154,961,752
155,959,752
158,958,752
160,957,752
161,956,752
163,956,754
164,954,754
168,953,754
169,953,755
171,952,755
174,950,755
181,949,755
330,949,755
