t,x,y
0,765,729
7,766,729
13,766,728
55,766,727
94,766,726
105,766,725
113,765,725
121,765,724
132,765,723
134,764,723
140,763,723
141,763,722
143,762,722
146,761,722
147,761,721
151,759,721
154,759,720
155,758,720
157,757,720
159,756,719
162,754,719
164,753,719
165,753,717
166,752,717
169,750,717
170,749,717
172,748,717
175,747,716
176,745,716
177,744,716
179,742,716
180,742,715
181,741,715
183,739,715
184,738,715
185,736,715
186,736,713
187,734,713
188,733,713
191,732,713
193,729,713
194,727,713
196,726,713
197,724,713
198,724,711
199,723,711
200,721,711
202,720,711
203,718,711
205,717,711
206,717,710
207,715,710
208,714,710
209,712,710
211,711,710
212,709,710
213,709,708
214,708,708
216,706,708
217,705,708
218,703,708
219,703,707
220,702,707
221,700,707
223,698,707
224,697,707
225,695,707
226,695,705
227,694,705
229,692,705
230,691,705
232,690,705
233,690,704
234,688,704
235,686,704
236,685,704
237,683,704
238,683,702
240,682,702
241,680,702
242,678,700
243,676,700
245,675,700
246,673,698
248,672,698
249,671,698
252,669,698
253,668,697
254,666,697
255,666,695
256,664,695
257,663,695
258,661,695
260,659,694
261,658,694
262,656,692
263,654,692
265,653,692
266,651,692
267,651,690
268,650,690
269,648,690
270,646,690
271,645,690
272,643,688
273,641,688
274,639,688
275,638,688
276,638,687
277,636,687
278,632,685
281,628,683
282,627,683
283,625,683
284,623,683
285,622,681
286,620,681
288,618,681
289,615,679
290,613,679
291,613,678
292,611,678
293,609,678
294,608,678
295,606,678
296,604,678
297,604,676
298,603,676
299,601,674
300,599,674
301,597,674
302,596,674
303,594,674
304,592,674
305,591,672
307,589,672
308,588,672
309,588,670
310,586,670
311,584,670
313,583,669
315,582,669
317,580,669
320,579,669
323,579,668
325,578,668
368,578,667
381,578,666
392,577,666
398,577,665
399,576,665
411,576,664
525,575,664
541,575,664
556,574,664
572,573,664
591,573,664
