t,x,y
0,1174,341
11,1174,341
18,1174,340
32,1173,340
104,1172,340
108,1172,341
112,1171,341
116,1171,342
117,1170,342
119,1170,343
122,1169,343
124,1167,344
125,1167,346
126,1166,346
127,1166,347
129,1166,349
130,1165,349
132,1165,350
133,1163,352
133,1163,354
134,1161,354
135,1161,356
137,1159,357
138,1159,359
140,1159,360
141,1158,360
142,1158,362
142,1156,364
143,1156,366
144,1154,368
146,1154,369
146,1152,371
147,1152,373
149,1150,375
150,1148,377
151,1148,379
152,1148,381
153,1147,381
154,1147,384
154,1147,386
156,1143,388
156,1143,390
158,1141,392
158,1139,394
159,1139,396
160,1137,398
161,1135,400
163,1135,404
164,1133,406
164,1133,408
166,1129,410
167,1127,412
168,1127,414
169,1125,417
169,1123,417
170,1121,421
172,1121,423
173,1117,425
174,1117,427
175,1116,431
176,1114,433
177,1112,433
178,1110,437
179,1108,439
180,1104,441
181,1104,443
182,1100,447
182,1100,449
183,1098,449
184,1094,455
185,1092,455
187,1090,458
187,1088,460
189,1086,464
190,1084,466
191,1082,468
191,1080,470
192,1078,472
193,1074,474
194,1072,478
195,1070,480
196,1068,484
198,1066,486
199,1065,486
200,1063,488
200,1061,492
201,1059,494
203,1057,494
203,1055,498
204,1053,502
205,1049,504
207,1047,506
207,1045,508
208,1043,510
210,1041,512
211,1039,514
212,1037,514
213,1037,516
214,1033,518
215,1031,520
216,1031,522
217,1029,522
217,1026,524
219,1024,526
221,1022,527
222,1020,529
223,1018,529
223,1018,531
225,1017,531
225,1015,533
227,1013,533
227,1013,534
229,1011,534
230,1011,536
230,1010,536
232,1008,536
233,1006,538
233,1004,538
235,1004,539
236,1003,539
236,1003,541
238,1001,541
239,1000,543
240,998,543
241,996,543
242,996,544
245,995,544
245,993,544
247,992,544
248,992,546
249,990,546
251,990,547
252,989,547
252,987,547
253,985,549
257,984,549
257,982,549
259,980,551
261,979,551
263,978,551
264,976,553
265,974,553
266,974,554
267,973,554
268,971,554
268,969,554
270,968,554
272,966,554
273,965,554
274,963,554
276,963,556
276,960,556
278,958,556
279,956,556
280,955,557
281,953,557
284,951,557
285,950,557
286,948,557
287,948,559
288,947,559
289,945,559
290,943,559
291,942,559
291,942,561
293,938,561
294,936,561
296,934,561
297,933,562
298,931,562
298,929,562
299,928,562
301,926,562
301,926,564
302,922,564
304,922,566
305,920,566
305,917,566
308,915,566
309,913,566
309,912,566
310,910,568
312,908,568
312,906,570
313,904,570
314,903,570
316,903,571
317,899,571
318,897,571
320,895,571
321,894,573
322,892,573
322,890,573
323,889,573
325,887,575
326,885,577
327,883,577
328,881,577
328,880,577
330,878,577
331,878,578
332,876,578
333,872,578
334,872,580
334,871,580
336,869,580
337,867,582
338,865,582
338,864,582
339,862,582
340,860,582
341,860,584
343,859,584
344,857,584
344,855,586
345,853,586
347,852,586
348,850,588
349,848,588
349,846,588
350,846,589
351,845,589
352,843,589
353,841,589
354,839,591
355,837,591
356,836,591
357,834,591
358,834,593
359,833,593
360,831,593
361,829,593
362,829,594
364,828,594
367,826,596
367,825,596
369,823,596
370,821,596
371,820,596
373,819,596
374,819,597
376,817,597
378,815,597
379,814,599
385,812,599
386,812,600
387,811,600
387,809,600
389,809,601
391,808,601
396,806,601
397,806,603
399,805,603
402,804,603
405,804,604
408,803,604
411,803,605
416,803,606
417,802,606
418,800,606
423,799,606
429,799,607
436,799,608
438,798,608
438,798,609
441,797,609
443,797,610
446,796,610
449,796,611
452,795,611
453,795,612
456,795,613
461,795,614
464,794,615
467,794,616
469,793,616
469,793,617
472,793,619
477,792,619
478,792,620
481,792,621
484,791,621
484,791,623
489,791,624
491,790,624
494,790,625
502,790,626
505,789,626
510,789,627
550,789,628
591,789,628
