t,x,y
0,734,775
4,735,776
6,736,776
6,737,776
11,738,776
12,739,776
13,741,776
16,742,776
16,743,776
19,745,776
21,746,776
23,747,776
23,748,776
24,750,776
26,751,776
27,753,777
28,755,777
29,757,777
31,758,777
32,759,777
33,761,777
35,763,777
35,764,777
37,766,779
38,768,779
39,769,779
41,771,779
42,773,779
43,774,779
43,776,779
44,777,779
45,779,779
46,781,779
47,782,779
48,784,781
50,788,781
51,790,781
52,792,781
53,794,781
53,795,781
55,799,781
56,801,783
57,803,783
57,805,783
59,809,783
60,811,783
60,812,783
61,814,783
62,818,785
63,820,785
64,821,785
65,825,785
66,827,785
67,831,787
68,835,787
69,837,787
70,839,787
71,843,787
72,844,787
73,846,789
74,850,789
75,854,789
77,858,789
77,860,791
78,864,791
79,866,791
81,872,791
81,874,793
82,878,793
83,882,793
84,886,795
85,888,795
87,894,795
87,896,795
88,902,795
90,904,795
90,907,797
91,911,797
92,917,797
93,921,799
94,923,799
95,927,799
97,931,799
97,935,801
98,941,801
99,945,801
100,949,801
101,953,803
102,959,803
103,963,805
104,967,805
105,971,805
106,975,805
107,979,807
108,983,807
110,987,807
110,995,809
111,997,809
112,1003,809
113,1005,809
114,1011,809
115,1015,811
116,1019,811
118,1023,811
118,1027,811
119,1033,813
120,1035,813
121,1041,813
122,1045,815
123,1049,815
125,1053,815
125,1055,815
126,1060,815
127,1062,815
128,1066,817
129,1070,817
130,1074,817
131,1076,819
132,1080,819
133,1084,819
134,1088,819
135,1090,819
136,1092,821
137,1094,821
138,1098,821
139,1102,821
140,1106,823
142,1108,823
142,1109,823
144,1111,823
144,1113,823
145,1115,824
146,1119,824
147,1121,824
149,1121,826
149,1122,826
150,1124,826
151,1125,826
152,1127,826
153,1129,826
154,1130,826
157,1132,826
158,1133,826
159,1133,828
162,1134,828
168,1134,829
172,1135,829
217,1135,830
247,1136,830
268,1137,830
268,1137,831
288,1138,831
350,1138,831
