t,x,y
0,1375,865
2,1374,865
5,1373,865
6,1372,865
9,1371,865
11,1370,865
12,1368,865
13,1367,865
16,1365,865
17,1364,865
19,1363,865
20,1361,865
21,1359,865
22,1358,865
23,1358,867
24,1356,867
25,1355,867
26,1353,867
28,1350,867
29,1348,867
31,1346,867
32,1345,867
33,1343,867
34,1342,867
35,1340,867
36,1336,867
37,1334,867
38,1333,867
39,1331,867
40,1329,867
41,1328,867
42,1324,867
43,1322,867
44,1320,867
45,1316,867
46,1314,867
47,1313,867
48,1309,867
49,1307,867
50,1303,867
51,1301,867
52,1297,867
53,1295,867
54,1294,867
55,1290,867
56,1286,867
57,1284,867
58,1280,867
59,1278,867
60,1274,867
61,1270,867
62,1266,865
63,1264,865
64,1260,865
65,1258,865
66,1252,865
67,1250,865
68,1247,865
69,1245,863
70,1241,863
71,1237,863
72,1233,861
73,1231,861
74,1225,861
75,1223,861
76,1217,859
77,1215,859
78,1211,859
79,1209,859
80,1205,857
81,1201,857
82,1197,857
83,1195,857
84,1194,857
85,1188,855
86,1186,855
87,1182,853
88,1180,853
89,1178,853
90,1175,853
91,1173,853
92,1169,851
93,1167,851
94,1165,851
95,1161,849
96,1159,849
97,1155,849
98,1153,847
99,1149,847
100,1148,847
101,1146,845
102,1142,845
103,1140,843
104,1138,843
105,1136,843
106,1134,841
107,1130,841
108,1128,839
109,1126,839
110,1126,838
111,1123,838
112,1121,838
113,1119,838
114,1117,836
115,1115,836
116,1113,834
117,1111,834
118,1110,832
119,1108,832
120,1106,832
121,1104,830
122,1102,830
123,1101,830
124,1099,828
125,1097,828
126,1095,828
127,1094,828
128,1094,827
129,1092,827
130,1090,825
131,1086,825
133,1086,823
134,1085,823
135,1083,823
136,1081,823
137,1079,821
138,1078,821
139,1076,821
140,1074,819
142,1073,819
143,1071,819
144,1069,819
145,1069,818
146,1068,818
147,1066,818
148,1064,818
149,1063,816
151,1061,816
152,1060,816
153,1060,814
154,1058,814
155,1056,814
158,1055,814
159,1054,813
160,1052,813
161,1050,813
163,1049,813
165,1047,813
166,1046,811
168,1044,811
171,1043,811
172,1043,810
173,1042,810
174,1040,810
177,1039,810
179,1038,810
181,1036,809
184,1035,809
187,1034,809
189,1033,809
193,1032,809
196,1031,809
198,1031,808
200,1030,808
202,1029,808
205,1028,808
209,1027,808
211,1026,808
213,1026,806
215,1025,806
219,1025,805
220,1024,805
223,1022,805
225,1021,805
229,1020,805
232,1019,805
234,1018,805
236,1018,804
239,1017,804
247,1016,804
259,1015,804
334,1014,804
351,1014,804
415,1014,804
