t,x,y
0,541,761
88,541,762
105,542,762
112,543,762
118,544,762
122,545,762
125,546,762
130,547,762
134,548,762
137,549,762
141,550,762
144,551,762
147,552,762
150,553,762
152,554,762
155,555,762
157,556,762
159,557,762
160,557,764
161,558,764
163,560,764
164,561,764
165,563,764
166,565,764
167,565,765
168,566,765
169,568,765
170,570,765
171,571,765
172,571,767
173,573,767
174,575,767
175,576,767
176,578,767
177,579,767
178,579,769
179,583,769
180,587,769
182,589,769
183,591,770
184,595,770
185,597,770
186,598,770
187,602,770
188,604,772
189,606,772
190,608,772
191,612,774
192,614,774
193,618,774
194,619,774
195,625,776
196,627,776
197,629,776
198,633,778
199,635,778
200,639,780
201,641,780
202,644,780
203,648,780
204,650,782
205,654,782
206,660,784
207,664,784
208,666,784
209,670,786
210,672,786
211,676,788
212,680,788
213,684,788
214,686,790
215,690,790
216,694,790
217,698,792
218,700,792
219,704,794
220,708,796
221,712,796
222,714,796
223,720,798
224,724,798
225,726,798
226,730,800
227,731,800
228,737,802
229,739,802
230,743,804
231,747,804
232,751,806
233,753,806
234,757,807
235,759,807
236,763,809
237,767,811
238,769,811
239,773,811
240,775,813
241,781,813
242,783,815
243,784,815
244,788,817
245,790,817
246,796,819
247,796,821
248,802,821
249,804,823
250,808,823
251,810,823
252,814,825
253,816,825
254,820,827
255,824,827
256,826,827
257,827,829
258,831,829
259,835,831
260,837,831
261,837,833
262,843,833
263,845,833
264,847,835
265,849,835
266,851,836
267,853,836
268,857,838
269,858,838
270,860,838
271,862,840
272,864,840
273,866,840
274,869,842
275,871,842
277,873,844
278,874,844
279,876,844
280,878,844
281,880,846
282,881,846
283,883,846
284,885,846
285,885,847
286,886,847
287,888,847
288,890,847
289,891,847
291,891,849
292,893,849
293,894,849
295,896,849
297,897,849
300,898,849
302,899,849
304,899,850
305,900,850
309,902,850
313,903,850
317,904,850
322,905,850
323,905,848
329,906,848
353,907,848
440,907,848
441,906,848
446,904,848
456,903,848
458,902,848
461,901,848
463,901,847
465,900,847
468,899,847
469,898,847
471,897,847
473,895,847
475,894,847
476,893,847
479,892,847
480,890,847
481,889,847
483,887,847
485,886,847
486,885,847
487,883,847
490,882,847
491,880,845
492,878,845
494,877,845
495,876,845
497,874,845
498,873,845
500,872,845
502,870,845
504,869,845
506,868,845
509,867,845
510,866,844
513,864,844
518,863,844
524,862,844
529,861,844
556,860,844
613,860,844
