t,x,y
0,1315,491
3,1315,490
5,1315,489
6,1314,487
8,1314,486
9,1312,486
11,1312,484
12,1311,484
12,1311,483
13,1309,481
15,1307,481
16,1307,479
17,1306,479
19,1306,478
20,1304,478
22,1304,476
23,1303,476
25,1302,476
26,1302,475
27,1300,475
29,1300,474
30,1299,474
31,1299,472
33,1297,472
34,1297,471
35,1295,471
37,1294,471
39,1294,470
41,1293,470
42,1293,468
43,1291,466
45,1290,466
47,1288,465
50,1287,465
51,1287,464
52,1287,462
53,1285,462
55,1284,462
56,1284,461
57,1282,461
59,1282,459
61,1281,459
62,1281,458
65,1280,458
66,1280,457
67,1278,457
69,1278,455
72,1277,455
74,1277,454
76,1276,454
78,1276,453
80,1275,453
81,1275,452
83,1274,452
86,1274,451
87,1272,451
90,1272,449
94,1271,448
95,1271,447
97,1270,447
98,1270,446
102,1269,446
103,1269,444
106,1267,443
108,1267,442
109,1266,442
110,1266,440
112,1266,439
114,1265,438
117,1264,438
118,1264,436
121,1262,435
122,1262,434
124,1261,432
126,1261,431
127,1259,431
128,1258,429
129,1258,427
130,1256,425
132,1256,424
133,1254,422
136,1252,421
137,1251,421
138,1251,419
139,1251,417
140,1249,417
141,1249,416
143,1249,414
145,1248,414
146,1248,413
147,1247,413
148,1245,411
149,1245,409
151,1245,408
154,1244,408
155,1242,406
156,1242,404
157,1241,404
158,1241,403
159,1241,401
161,1239,401
162,1239,400
164,1238,400
165,1238,398
166,1236,398
167,1236,397
168,1235,397
169,1235,395
171,1233,395
172,1233,394
174,1232,392
177,1231,392
178,1231,391
180,1229,391
182,1229,390
184,1229,389
188,1228,389
191,1228,388
193,1227,388
195,1227,386
197,1226,386
201,1226,385
205,1226,384
206,1225,384
214,1225,383
222,1225,382
223,1223,382
227,1223,381
233,1222,381
239,1222,380
240,1221,380
246,1221,379
253,1221,378
257,1220,378
258,1220,376
263,1220,375
264,1219,375
266,1219,374
269,1218,374
273,1218,373
274,1217,373
278,1217,371
289,1217,370
295,1217,369
298,1216,369
300,1216,368
301,1214,368
309,1214,367
310,1213,367
314,1213,366
326,1212,366
327,1212,365
338,1212,364
342,1211,364
344,1211,363
349,1211,362
352,1210,362
357,1210,361
361,1210,360
369,1209,360
370,1209,358
375,1209,357
381,1209,356
384,1208,356
386,1208,355
390,1207,355
392,1207,354
399,1207,353
410,1206,353
411,1206,352
422,1206,351
432,1205,351
463,1205,350
475,1205,349
489,1205,348
494,1204,348
504,1204,347
516,1204,346
531,1203,346
533,1203,345
541,1203,344
556,1203,343
575,1203,342
702,1203,341
703,1203,340
706,1203,339
708,1203,338
710,1203,337
711,1203,336
714,1205,336
715,1205,334
718,1205,333
721,1205,332
722,1206,332
723,1206,330
725,1206,329
727,1206,328
729,1206,327
730,1207,327
732,1207,325
733,1209,324
735,1209,322
738,1210,322
738,1210,321
741,1211,319
743,1211,318
744,1211,317
746,1213,317
747,1213,315
748,1213,314
749,1213,312
750,1214,312
751,1214,310
752,1216,310
755,1216,309
756,1217,309
757,1217,308
758,1217,306
759,1219,306
760,1219,304
761,1219,303
764,1220,301
765,1220,300
768,1220,298
769,1222,297
770,1224,297
771,1224,295
772,1224,294
773,1224,292
774,1225,292
775,1225,290
776,1227,290
777,1227,289
779,1227,287
780,1228,287
781,1228,286
782,1230,286
783,1230,284
785,1230,283
786,1231,283
787,1231,281
789,1233,281
790,1233,280
792,1233,278
793,1234,278
795,1234,277
796,1236,275
798,1236,274
799,1237,274
801,1237,272
804,1238,271
806,1240,271
807,1240,270
808,1240,268
809,1241,268
811,1241,267
814,1242,267
816,1242,266
817,1244,266
820,1245,264
823,1246,264
825,1246,263
829,1246,262
832,1247,262
837,1247,261
850,1248,261
1022,1248,261
