t,x,y
0,1287,889
4,1287,888
7,1288,888
14,1289,888
15,1289,887
21,1290,887
25,1290,886
26,1292,886
29,1293,886
30,1294,886
33,1294,885
36,1295,885
37,1295,883
39,1297,883
39,1298,883
42,1300,883
47,1301,883
48,1301,882
49,1302,882
51,1304,882
54,1305,882
57,1306,882
57,1306,881
59,1307,881
59,1309,881
63,1309,880
64,1310,880
64,1312,880
66,1314,880
70,1314,878
70,1315,878
71,1316,878
73,1318,878
76,1318,877
77,1319,877
78,1321,877
80,1322,877
81,1322,876
81,1324,876
83,1326,876
86,1327,876
87,1329,874
89,1330,874
90,1332,874
92,1332,873
93,1333,873
95,1333,871
96,1334,871
98,1336,871
100,1337,871
101,1337,870
102,1338,870
104,1340,870
107,1341,869
109,1342,869
110,1342,867
113,1343,867
114,1343,866
115,1345,866
118,1346,866
119,1346,865
120,1348,865
122,1348,863
123,1349,863
125,1349,862
128,1350,862
131,1350,861
132,1352,861
135,1352,860
136,1353,860
138,1354,860
139,1354,858
143,1356,858
146,1356,857
147,1357,857
148,1357,856
150,1358,856
154,1359,856
154,1359,854
156,1361,854
157,1361,853
158,1363,853
160,1364,853
161,1364,851
162,1366,851
165,1367,851
166,1367,850
167,1369,850
168,1370,850
170,1372,850
170,1373,849
172,1375,849
173,1375,847
174,1377,847
175,1379,847
177,1380,847
178,1381,847
179,1381,845
180,1383,845
181,1385,845
184,1386,845
185,1387,845
186,1389,843
188,1391,843
189,1392,842
190,1394,842
191,1396,842
194,1397,842
195,1397,840
196,1399,840
197,1400,840
199,1402,839
201,1403,839
202,1405,839
204,1406,839
205,1406,838
206,1408,838
207,1409,838
209,1409,836
210,1411,836
213,1412,836
214,1412,835
215,1414,835
217,1415,835
220,1415,834
221,1416,834
223,1418,834
226,1419,834
228,1419,833
228,1420,833
232,1420,832
233,1421,832
236,1423,832
238,1423,830
241,1424,830
248,1424,829
249,1425,829
252,1427,829
260,1428,829
261,1428,828
275,1429,828
516,1429,828
