t,x,y
0,1296,961
5,1296,962
17,1297,962
133,1297,961
136,1297,960
138,1297,959
141,1297,958
147,1297,957
150,1297,956
152,1297,955
154,1297,954
156,1297,953
158,1297,952
160,1297,951
162,1297,950
163,1297,948
164,1297,946
165,1297,945
166,1295,945
167,1295,943
168,1295,942
169,1293,940
170,1293,938
172,1293,936
173,1293,935
174,1291,933
176,1291,932
177,1291,930
178,1291,929
179,1291,927
180,1291,925
181,1291,924
182,1290,924
183,1290,918
184,1290,916
185,1288,914
186,1288,912
187,1288,910
188,1288,909
189,1288,907
190,1286,905
191,1286,901
192,1284,899
193,1284,897
194,1284,893
195,1282,891
196,1282,890
197,1282,888
198,1280,884
199,1280,882
200,1280,880
201,1278,879
202,1278,873
203,1278,871
204,1274,869
205,1274,867
206,1274,863
207,1274,861
208,1272,857
209,1270,855
210,1270,851
211,1270,849
212,1268,845
213,1268,843
214,1266,839
215,1266,837
216,1266,836
217,1266,832
218,1264,828
219,1262,828
220,1262,822
221,1260,822
222,1260,820
223,1260,816
224,1260,815
225,1259,813
226,1259,809
227,1259,807
228,1257,803
229,1257,801
230,1255,799
231,1255,797
232,1255,795
233,1253,792
234,1251,790
235,1251,788
236,1249,786
237,1249,784
238,1249,780
239,1247,778
240,1247,776
241,1245,774
242,1245,773
243,1245,771
244,1243,767
245,1243,765
246,1241,763
247,1241,761
248,1241,760
249,1239,758
250,1239,756
251,1237,754
252,1237,752
253,1236,750
254,1236,748
255,1236,747
256,1236,745
257,1234,745
258,1234,741
259,1232,741
260,1230,737
261,1230,735
262,1230,734
263,1228,734
264,1228,732
265,1228,730
266,1227,730
267,1227,727
268,1225,725
269,1225,723
270,1225,721
271,1223,719
273,1223,718
274,1221,716
275,1221,714
276,1219,712
277,1219,710
278,1218,708
280,1218,707
281,1216,705
282,1216,703
283,1214,703
284,1214,702
286,1214,700
287,1213,700
288,1213,699
289,1213,697
290,1211,697
291,1211,695
292,1211,694
293,1210,694
294,1210,692
295,1210,690
296,1208,690
297,1208,689
299,1206,687
301,1206,686
302,1205,684
304,1205,683
305,1203,683
306,1203,681
309,1203,680
310,1202,680
312,1201,678
314,1201,677
318,1200,677
319,1200,676
320,1200,674
324,1200,673
326,1200,672
327,1198,672
330,1198,671
333,1198,670
337,1198,669
339,1198,668
345,1198,667
348,1198,666
351,1197,666
352,1197,664
356,1197,663
360,1197,662
363,1197,661
367,1197,660
370,1197,659
373,1197,658
376,1197,657
380,1197,656
382,1197,655
386,1196,655
387,1196,654
392,1196,652
396,1196,651
403,1196,650
409,1196,649
410,1195,649
425,1195,648
476,1195,648
