t,x,y
0,885,221
72,885,222
73,884,222
78,883,222
80,882,222
83,881,222
86,880,222
87,879,222
89,877,222
91,876,222
92,876,223
93,874,223
94,873,223
96,871,223
98,870,223
100,869,224
101,868,224
102,866,224
104,865,224
105,863,224
105,861,224
107,861,226
108,860,226
109,858,226
110,856,226
111,855,226
112,853,226
113,852,226
114,850,226
114,848,228
115,846,228
117,844,228
118,843,228
119,841,228
120,839,228
121,838,228
121,836,228
123,835,228
124,833,228
125,831,228
126,831,229
127,830,229
128,828,229
129,826,229
129,825,229
131,823,231
132,821,231
133,819,231
133,817,233
135,815,233
136,814,233
137,812,233
138,810,233
138,809,233
140,807,233
141,805,233
142,804,233
143,802,233
144,802,235
145,800,235
145,799,235
147,797,235
148,796,235
149,794,235
149,792,235
151,791,235
152,789,235
153,787,235
154,786,235
155,784,235
155,782,235
157,780,237
157,779,237
159,777,237
160,775,237
161,774,237
162,772,237
163,770,237
164,769,237
164,767,237
166,765,237
166,764,237
168,762,237
168,760,237
170,760,238
170,759,238
172,757,238
173,755,238
174,754,238
174,752,238
176,750,238
177,749,238
178,745,238
179,743,238
180,741,238
182,740,238
183,738,238
184,737,238
184,735,238
186,731,238
186,729,238
187,728,238
188,726,238
190,724,238
190,723,238
192,721,238
193,719,238
194,715,238
195,713,238
195,712,238
197,710,238
198,708,238
198,707,238
199,705,238
201,704,238
201,702,238
203,700,238
203,699,238
204,695,238
205,693,238
206,691,238
207,689,238
209,688,238
210,686,240
211,684,240
212,682,240
213,681,240
214,679,240
215,677,240
216,676,240
217,674,240
218,672,240
219,671,240
220,669,240
221,667,240
222,666,240
223,664,240
224,662,240
225,661,240
226,659,240
227,657,240
228,656,240
229,654,240
231,653,240
232,651,240
232,650,240
235,648,240
236,647,242
236,645,242
239,643,242
240,642,242
241,641,242
243,639,242
245,638,242
246,637,242
249,635,242
250,634,242
251,634,243
253,633,243
257,632,243
260,631,243
286,630,243
359,630,243
