t,x,y
0,1142,299
3,1142,300
7,1142,301
10,1142,302
10,1142,303
12,1140,303
13,1140,305
16,1140,306
17,1140,307
19,1139,307
20,1139,309
23,1139,310
24,1139,311
25,1137,311
26,1137,313
28,1137,314
30,1137,316
31,1137,317
33,1136,318
35,1136,320
36,1135,320
37,1135,321
38,1135,323
39,1133,323
40,1133,325
41,1133,326
42,1131,326
43,1131,328
45,1131,329
46,1131,331
47,1129,333
49,1128,334
50,1128,336
51,1126,338
52,1126,340
53,1126,341
54,1124,341
55,1122,343
56,1122,345
58,1122,346
59,1121,348
60,1119,348
61,1119,350
62,1117,351
63,1117,353
64,1115,353
65,1115,355
66,1113,359
67,1111,361
68,1109,363
69,1109,365
71,1108,365
72,1106,366
73,1106,368
74,1104,370
75,1102,372
76,1102,374
77,1101,374
78,1101,376
79,1099,377
80,1097,379
81,1095,381
82,1095,383
83,1093,385
84,1091,387
85,1091,389
86,1089,391
87,1087,393
88,1085,393
89,1083,395
90,1081,399
91,1079,401
92,1077,403
93,1075,405
94,1073,407
95,1072,407
96,1072,408
97,1070,412
98,1068,412
99,1066,414
100,1064,416
101,1062,418
102,1060,420
103,1058,422
104,1056,422
105,1054,424
106,1052,426
107,1050,428
108,1048,430
109,1048,432
110,1044,434
111,1042,436
112,1040,438
113,1038,440
114,1036,442
115,1034,442
116,1032,444
117,1032,448
118,1028,448
119,1026,450
120,1024,452
121,1022,454
122,1021,454
123,1019,456
124,1017,460
125,1015,462
126,1013,464
127,1011,464
128,1009,465
129,1005,467
130,1003,469
131,1003,471
132,1001,473
133,997,473
134,997,475
135,993,477
136,991,479
137,989,479
138,988,481
139,986,483
140,984,485
141,982,485
142,980,487
143,978,487
144,976,489
145,974,491
146,970,495
147,968,495
148,966,495
149,966,496
150,965,496
151,963,498
152,959,500
153,957,500
154,957,502
155,953,502
156,953,504
157,951,506
158,949,506
159,948,506
160,948,507
161,944,509
162,942,509
163,940,509
164,938,511
165,936,513
166,934,513
167,933,513
168,933,515
169,931,515
170,929,515
171,928,515
172,928,516
173,926,518
174,924,518
175,922,518
176,921,518
177,921,520
178,919,520
179,917,520
180,916,520
181,914,522
182,912,522
183,910,522
184,910,524
185,909,525
186,907,525
187,905,525
189,904,527
190,902,527
192,901,527
193,899,527
194,899,529
195,898,529
196,896,529
197,894,529
198,894,530
199,893,530
200,891,530
201,889,530
202,889,532
203,888,532
204,886,532
205,884,532
206,884,534
207,883,534
209,881,535
210,880,535
211,878,535
213,877,535
215,876,535
216,874,537
217,872,537
219,871,537
220,869,537
221,867,538
224,866,538
225,865,538
226,863,540
228,861,540
229,860,540
230,860,542
231,858,542
233,857,542
234,855,542
235,855,544
236,854,544
237,852,544
238,850,544
240,850,545
241,849,545
243,848,545
244,846,545
246,845,547
248,843,547
250,842,547
251,842,548
252,841,548
253,839,548
255,838,548
257,837,548
258,835,548
260,834,549
263,833,549
265,831,549
266,830,551
268,828,551
272,827,552
273,826,552
274,824,552
278,823,553
280,822,553
281,821,553
285,819,553
286,819,555
289,818,555
290,817,555
293,815,555
294,815,556
296,814,556
300,814,557
301,813,557
302,811,557
306,810,557
312,810,558
313,809,558
316,807,558
320,806,558
323,806,559
327,805,559
340,804,559
345,803,560
469,803,560
