t,x,y
0,1432,1017
1,1432,1016
3,1431,1016
5,1430,1016
6,1430,1014
8,1428,1014
9,1428,1013
10,1427,1013
12,1425,1013
14,1424,1012
17,1423,1012
18,1421,1010
19,1420,1010
21,1420,1009
22,1418,1009
23,1417,1009
24,1417,1007
25,1415,1007
26,1413,1007
27,1412,1007
28,1410,1005
29,1408,1005
30,1406,1004
32,1404,1004
33,1404,1002
34,1403,1002
35,1401,1002
36,1399,1002
37,1398,1000
38,1394,1000
39,1394,998
40,1392,996
41,1390,996
42,1388,996
43,1384,996
44,1382,994
45,1382,993
46,1381,993
47,1377,991
48,1375,991
49,1373,989
50,1369,989
51,1369,987
52,1365,985
53,1363,985
54,1361,983
55,1357,983
56,1355,983
57,1353,979
58,1349,979
59,1347,977
60,1345,975
61,1341,975
62,1339,973
63,1335,971
64,1333,971
65,1332,969
66,1328,969
67,1324,965
68,1322,965
69,1318,963
70,1314,961
71,1312,959
72,1310,959
73,1306,957
74,1304,957
75,1302,954
76,1300,954
77,1294,952
78,1290,950
79,1288,950
80,1286,948
81,1282,946
82,1278,944
83,1277,944
84,1271,942
85,1269,940
86,1267,938
87,1265,936
88,1259,932
89,1257,932
90,1253,930
91,1249,928
92,1247,928
93,1241,924
94,1239,922
95,1235,920
96,1235,918
97,1229,916
98,1227,916
99,1223,914
100,1219,912
101,1217,910
102,1213,908
103,1211,906
104,1207,904
105,1203,902
106,1201,900
107,1200,900
108,1196,896
109,1192,894
110,1190,892
111,1186,892
112,1184,890
113,1180,886
114,1178,884
115,1176,882
116,1174,882
117,1170,880
118,1168,878
119,1166,876
120,1164,876
121,1162,874
122,1160,872
123,1156,870
124,1152,868
125,1152,866
126,1148,866
127,1146,862
128,1144,862
129,1142,861
130,1138,859
131,1136,857
132,1135,857
133,1131,855
134,1129,853
135,1129,851
136,1127,851
137,1123,849
138,1121,847
139,1119,845
140,1115,843
141,1115,841
142,1114,841
143,1112,839
144,1110,837
145,1108,835
146,1106,833
147,1104,833
148,1102,831
149,1100,829
150,1098,827
152,1096,825
153,1095,824
154,1093,824
155,1093,822
156,1089,822
157,1087,820
158,1085,818
160,1085,816
161,1083,816
162,1082,815
164,1080,813
165,1080,811
166,1078,810
168,1078,808
169,1077,808
170,1077,806
172,1077,805
173,1075,805
175,1075,804
177,1075,802
179,1074,802
180,1074,801
183,1074,800
187,1074,799
191,1074,798
192,1073,798
196,1073,796
205,1073,795
218,1073,794
290,1074,794
303,1074,794
385,1074,794
