t,x,y
0,1629,961
3,1628,961
5,1627,961
7,1626,961
9,1625,961
10,1625,963
11,1623,963
13,1622,963
14,1621,963
17,1619,963
18,1618,963
19,1616,963
21,1615,963
22,1614,963
23,1612,963
24,1612,964
25,1610,964
26,1609,964
27,1607,964
28,1605,964
29,1604,964
31,1602,964
32,1601,964
33,1599,964
34,1598,964
35,1596,964
36,1594,964
37,1592,966
38,1591,966
39,1589,966
40,1587,966
41,1586,966
42,1584,966
43,1580,966
44,1578,966
45,1576,966
46,1572,966
47,1571,966
48,1567,966
49,1565,966
50,1563,966
51,1559,966
52,1557,966
53,1553,966
54,1551,966
55,1550,966
56,1546,966
57,1542,966
58,1538,966
59,1534,966
60,1532,966
61,1528,966
62,1526,966
63,1520,966
64,1518,966
65,1514,966
66,1512,966
67,1507,966
68,1505,966
69,1499,966
70,1495,966
71,1491,966
72,1489,966
73,1485,966
74,1483,964
75,1477,964
76,1475,964
77,1469,964
78,1467,964
79,1462,964
80,1460,964
81,1456,964
82,1452,962
83,1448,962
84,1444,962
85,1440,962
86,1434,962
87,1430,962
88,1426,962
89,1422,960
90,1418,960
91,1414,960
92,1410,960
93,1404,960
94,1402,958
95,1396,958
96,1394,958
97,1388,956
98,1386,956
99,1378,956
100,1372,956
101,1370,956
102,1366,954
103,1358,954
104,1356,954
105,1351,954
106,1345,952
107,1343,952
108,1337,950
109,1331,950
110,1327,950
111,1323,950
112,1319,950
113,1313,948
114,1309,948
115,1303,948
116,1301,948
117,1295,948
118,1289,946
119,1287,946
120,1279,946
121,1277,946
122,1272,946
123,1270,944
124,1262,944
125,1258,944
126,1252,944
127,1250,942
128,1244,942
129,1240,942
130,1236,942
131,1230,942
132,1226,942
133,1222,940
134,1218,940
135,1214,940
136,1210,940
137,1204,938
138,1202,938
139,1196,938
140,1194,938
141,1188,938
142,1186,938
143,1182,938
144,1176,936
145,1172,936
146,1168,936
147,1164,936
148,1160,936
149,1156,934
150,1154,934
151,1150,934
152,1144,934
153,1142,934
154,1141,932
155,1135,932
156,1133,932
157,1129,932
158,1127,932
159,1123,931
160,1121,931
161,1117,931
162,1115,931
163,1111,929
164,1109,929
165,1105,929
166,1103,929
167,1102,927
168,1098,927
169,1096,927
170,1092,925
171,1090,925
172,1088,925
173,1086,923
174,1082,923
175,1080,923
176,1080,921
177,1076,921
178,1075,921
179,1071,921
180,1071,919
181,1069,919
182,1067,919
183,1065,917
184,1064,917
185,1062,917
186,1060,916
187,1058,916
188,1058,914
189,1057,914
190,1055,914
191,1053,912
192,1051,912
193,1051,910
194,1049,910
195,1048,910
196,1046,909
197,1044,909
198,1044,907
199,1042,907
200,1041,907
201,1041,905
202,1039,905
203,1039,904
204,1037,904
205,1037,902
206,1036,902
207,1034,900
208,1032,900
209,1032,898
210,1030,898
211,1030,897
212,1029,897
213,1029,895
214,1027,893
216,1025,891
217,1024,891
219,1022,891
220,1022,890
221,1021,890
222,1021,888
223,1019,888
224,1019,887
225,1017,885
226,1015,885
227,1014,885
228,1014,883
229,1012,883
230,1012,882
231,1010,882
232,1008,880
234,1007,878
235,1005,878
236,1005,876
237,1004,876
238,1004,875
239,1002,875
240,1002,873
241,1000,873
242,1000,871
243,999,871
244,997,871
245,997,870
246,995,870
247,993,868
248,993,866
249,992,866
250,990,864
252,988,864
253,988,863
254,987,863
255,987,861
256,985,861
257,983,859
259,981,859
260,981,858
261,980,858
262,978,858
263,978,856
265,977,855
267,975,855
268,975,853
269,974,853
270,974,852
271,972,852
275,972,850
276,971,850
277,969,850
279,969,849
280,968,849
283,966,848
288,966,847
289,965,847
292,965,845
294,964,845
297,963,845
300,963,844
303,962,844
304,962,843
307,961,843
309,961,842
312,960,842
313,960,841
316,958,841
320,957,841
321,957,839
324,956,839
325,956,838
328,955,838
331,955,837
334,954,837
339,953,837
342,952,837
348,951,836
352,950,836
363,950,835
364,949,835
378,949,834
380,948,834
387,948,833
388,946,833
392,946,832
393,945,832
396,944,832
397,944,830
405,944,829
406,943,829
408,941,829
410,940,829
412,940,828
414,939,828
416,939,827
417,938,827
421,936,827
424,936,826
425,935,826
429,934,826
431,933,826
434,933,825
435,931,825
438,930,825
442,929,825
445,928,825
446,928,823
449,927,823
450,925,823
457,924,823
461,923,823
463,923,822
466,922,822
484,921,822
522,920,822
530,920,822
536,919,822
547,918,822
549,918,821
564,918,821
