t,x,y
0,630,244
8,630,244
12,631,244
15,633,245
18,634,246
19,635,246
21,637,248
23,638,248
24,639,248
26,639,249
26,641,249
27,641,251
30,642,251
31,642,252
31,644,252
34,644,254
34,645,254
36,645,255
37,649,255
38,649,257
39,651,259
40,652,259
42,652,260
43,654,260
44,654,262
45,656,262
47,657,263
48,657,265
49,659,265
50,659,267
51,661,268
52,663,268
52,663,270
54,663,272
54,664,272
56,664,273
56,666,273
57,666,275
59,668,277
60,670,279
62,670,281
63,671,282
64,671,284
64,673,284
66,673,286
66,675,288
68,675,289
69,677,291
69,679,293
72,680,295
73,680,297
74,682,297
75,682,298
75,684,300
76,684,302
77,684,304
79,686,304
80,686,305
81,688,307
81,690,309
83,690,311
84,691,313
85,691,317
87,693,319
88,693,320
89,695,320
90,695,322
91,697,324
92,699,326
93,699,328
94,699,329
95,701,331
96,701,333
97,703,335
98,703,337
99,704,337
100,704,338
101,706,340
102,706,342
103,708,344
105,708,346
106,709,346
107,709,347
108,711,349
109,711,351
109,711,353
110,713,353
112,713,354
113,715,356
114,715,358
116,716,360
117,718,361
117,718,363
119,718,365
119,720,365
121,720,366
122,721,368
123,721,370
125,721,372
125,723,373
127,725,375
128,727,377
129,727,379
130,727,381
131,729,381
132,729,382
133,731,384
134,731,386
135,732,388
136,732,390
137,734,390
138,734,391
138,736,393
140,736,395
141,738,395
142,738,399
143,740,399
144,741,401
144,741,403
146,743,405
147,743,407
148,745,408
149,745,410
150,747,412
151,747,414
152,749,414
153,751,416
153,751,418
155,752,418
156,752,419
156,752,421
158,754,421
158,756,423
160,756,425
161,756,426
162,757,426
163,757,428
164,759,430
165,761,432
166,763,434
167,763,436
168,765,436
169,765,438
170,769,439
170,769,441
172,770,441
172,770,443
174,774,445
175,776,447
176,776,449
176,778,449
177,780,451
179,782,453
179,784,453
181,786,457
182,788,459
183,790,459
184,791,460
185,793,460
186,795,462
187,797,464
187,799,464
189,803,468
189,805,468
191,805,470
192,809,472
193,813,472
194,815,474
195,817,476
196,819,478
197,821,480
198,823,480
199,824,480
200,828,482
201,828,484
201,830,486
202,834,486
203,836,488
205,838,490
206,840,490
206,842,491
208,844,493
209,846,493
210,850,493
211,850,495
212,851,495
213,853,497
214,855,499
215,857,499
216,859,501
217,861,501
218,861,503
219,862,503
221,864,503
222,865,504
222,865,506
224,867,506
225,869,506
228,869,508
229,870,508
231,871,508
231,871,509
233,873,509
236,873,510
239,874,510
245,874,511
251,875,511
266,876,511
269,876,512
273,877,513
277,878,513
279,878,514
282,879,514
284,879,516
286,879,517
287,880,517
289,880,518
294,880,519
294,882,519
297,882,521
298,883,521
301,884,522
303,884,523
303,886,523
306,886,524
310,886,525
312,887,525
315,888,526
317,888,528
319,889,529
322,889,530
326,890,530
328,890,531
333,890,532
334,891,532
338,891,533
340,893,533
371,893,533
