t,x,y
0,691,821
4,692,821
6,693,821
8,694,821
10,696,821
12,697,821
14,698,821
15,699,821
18,700,821
19,702,823
20,704,823
22,705,823
23,707,823
25,708,823
26,709,823
27,711,823
29,712,823
30,714,824
31,716,824
33,717,824
34,719,824
35,720,824
36,722,824
37,726,826
38,728,826
39,729,826
40,731,826
41,733,826
42,734,826
43,736,828
44,738,828
45,740,830
46,742,830
47,746,832
48,748,832
49,752,832
50,754,834
51,758,836
52,760,836
53,763,836
54,767,838
55,769,838
56,773,840
57,775,842
58,781,844
59,785,844
60,787,844
61,791,846
62,795,848
63,797,848
64,801,850
65,803,850
66,807,852
67,811,854
68,815,856
69,817,856
70,823,858
71,825,858
72,828,860
73,832,862
74,834,862
75,838,864
76,840,866
77,844,866
78,848,868
79,852,870
80,856,872
81,862,874
82,864,876
83,866,878
84,872,880
85,878,882
86,880,884
87,884,884
88,890,888
89,894,890
90,898,892
91,900,894
92,904,894
93,908,896
94,914,898
95,918,900
96,920,902
97,924,902
98,930,906
99,932,906
100,938,909
101,942,909
102,944,911
103,948,913
104,956,915
105,956,917
106,962,919
107,964,921
108,970,923
109,974,925
110,978,927
111,982,929
112,986,931
113,988,931
114,992,933
115,996,935
116,1002,937
117,1006,939
118,1010,941
119,1012,941
120,1017,943
121,1019,945
122,1023,947
123,1025,949
124,1029,949
125,1033,951
126,1037,953
127,1041,955
128,1043,955
129,1047,955
130,1051,957
131,1055,959
132,1059,959
133,1061,961
134,1065,963
135,1067,963
136,1071,965
137,1075,965
138,1077,967
139,1079,967
140,1083,969
141,1087,969
142,1089,969
143,1093,971
144,1095,971
145,1096,971
146,1100,973
147,1102,973
148,1106,973
149,1108,973
150,1110,973
151,1113,975
152,1115,975
153,1117,975
154,1121,975
155,1123,975
156,1125,977
157,1127,977
158,1128,977
159,1130,977
160,1132,977
161,1133,977
162,1135,979
163,1137,979
164,1139,979
165,1140,979
166,1142,979
167,1144,979
169,1145,979
170,1145,980
171,1147,980
172,1148,980
174,1150,980
175,1151,980
177,1153,980
179,1154,980
182,1155,980
185,1156,980
188,1157,980
197,1158,980
243,1158,979
244,1159,979
250,1160,979
254,1160,978
255,1161,978
259,1163,978
263,1163,977
264,1164,977
268,1165,977
271,1166,976
275,1167,976
279,1168,976
281,1168,975
282,1170,975
284,1171,975
286,1171,974
287,1172,974
290,1174,974
291,1174,973
292,1175,973
295,1177,973
296,1178,973
298,1179,973
300,1180,973
301,1180,971
302,1182,971
304,1183,971
305,1185,971
307,1186,971
308,1188,971
310,1189,971
312,1190,971
313,1190,970
314,1192,970
315,1193,970
316,1195,970
318,1196,970
319,1198,970
320,1199,970
321,1201,970
322,1203,970
323,1204,970
324,1206,970
326,1207,970
327,1207,969
328,1209,969
329,1211,969
330,1212,969
331,1214,969
333,1216,969
335,1217,969
338,1218,969
340,1219,969
358,1220,969
461,1220,969
