t,x,y
0,1604,704
4,1604,703
5,1606,703
9,1607,703
10,1607,702
12,1608,702
15,1609,702
16,1609,701
18,1611,701
21,1612,701
25,1612,700
27,1613,700
28,1614,700
32,1616,698
34,1617,698
37,1618,698
38,1618,697
39,1620,695
39,1621,695
43,1623,694
44,1624,694
47,1625,694
48,1625,692
49,1627,692
51,1628,691
53,1629,691
54,1631,689
56,1633,689
56,1634,689
58,1634,688
58,1636,688
60,1637,688
61,1637,686
63,1639,686
64,1639,685
65,1640,685
67,1642,685
68,1642,683
69,1646,683
70,1647,683
70,1647,682
72,1649,682
74,1651,680
75,1651,679
77,1654,679
79,1656,679
80,1656,677
81,1658,677
83,1659,676
83,1661,676
84,1663,674
88,1663,673
88,1664,673
90,1666,673
91,1667,673
91,1667,671
93,1669,671
94,1669,669
96,1670,669
97,1670,668
98,1672,668
99,1674,666
101,1675,666
103,1675,665
103,1677,665
105,1677,663
105,1678,663
107,1680,663
107,1680,662
109,1682,662
110,1682,660
112,1683,658
113,1684,658
115,1684,657
116,1686,657
117,1686,655
118,1688,655
119,1688,654
119,1689,654
120,1689,652
122,1691,652
124,1691,651
124,1692,651
126,1692,649
127,1694,649
128,1694,647
129,1696,647
131,1697,646
133,1699,645
135,1700,645
136,1700,643
137,1702,643
138,1702,641
139,1703,641
141,1703,640
142,1705,640
143,1705,638
144,1706,638
146,1706,637
147,1708,637
149,1708,636
150,1709,636
152,1710,636
153,1710,634
155,1712,634
155,1712,633
159,1713,633
160,1713,632
161,1715,632
163,1716,632
165,1716,630
168,1716,629
168,1717,629
171,1719,628
176,1720,628
177,1720,627
178,1722,627
181,1722,625
183,1723,625
187,1723,624
189,1724,624
193,1724,623
194,1725,623
197,1726,623
199,1726,622
203,1727,622
205,1727,621
209,1728,620
213,1729,620
218,1729,619
220,1730,619
224,1730,618
227,1731,618
228,1731,617
229,1733,617
231,1734,617
232,1734,616
235,1736,616
236,1736,614
238,1737,614
240,1738,614
242,1739,613
245,1741,613
246,1741,612
249,1742,612
252,1742,611
254,1743,611
260,1743,610
261,1744,610
266,1744,608
274,1745,608
283,1745,607
324,1745,607
368,1745,606
369,1746,606
379,1746,606
