t,x,y
0,335,613
6,336,613
8,336,612
12,337,612
16,337,611
17,338,611
20,340,611
21,340,610
26,341,610
28,341,609
30,342,609
32,343,609
35,343,608
38,344,608
41,345,607
42,347,607
44,347,605
45,348,605
48,349,604
52,350,603
54,351,603
56,353,603
57,353,601
58,354,601
60,356,600
62,357,600
63,357,599
65,358,599
67,358,597
68,360,597
69,361,597
71,363,596
72,364,596
74,364,595
75,366,595
77,366,593
78,367,593
79,369,593
80,370,593
81,370,592
83,372,592
84,373,592
85,373,590
87,375,590
88,375,588
89,376,588
91,378,588
92,379,587
94,381,587
95,381,586
98,382,584
99,384,584
101,385,583
103,386,583
105,387,583
106,389,581
108,391,581
109,391,580
111,391,578
112,392,578
113,394,578
115,395,578
116,397,577
118,398,577
119,398,575
120,400,575
121,402,575
122,402,574
123,403,574
124,403,572
126,405,572
127,406,572
128,408,572
129,408,570
131,409,569
132,411,569
133,412,567
135,414,567
137,415,566
138,417,566
140,418,564
141,420,564
142,420,563
143,421,563
144,421,561
145,423,561
146,425,561
148,426,561
149,428,559
151,429,559
152,429,558
153,431,558
154,433,558
155,433,556
156,434,556
157,436,554
158,438,554
159,438,553
160,440,553
161,442,551
163,443,551
164,443,549
165,445,549
166,447,549
168,448,549
169,449,548
172,451,548
173,451,547
174,453,545
175,455,543
176,457,543
177,458,543
178,458,541
180,460,541
181,460,540
182,461,540
183,463,540
184,465,540
185,465,538
187,466,537
188,468,537
190,469,537
191,469,535
192,471,533
193,473,533
195,474,532
197,476,532
198,476,530
199,477,530
200,477,529
201,479,529
202,481,529
203,481,527
204,482,527
205,482,525
206,484,525
208,485,524
210,485,523
211,487,523
212,489,521
213,490,521
215,490,519
216,492,519
218,492,518
219,493,518
220,495,518
221,495,516
222,497,516
224,497,515
225,498,515
226,500,515
227,500,513
228,501,513
229,501,512
230,503,512
231,503,510
234,504,510
235,506,509
236,508,507
238,509,507
240,509,505
241,511,505
242,511,504
243,512,504
244,514,504
246,514,502
247,514,501
248,516,499
250,518,499
251,519,499
253,520,499
254,520,498
256,520,496
258,520,495
259,522,495
260,523,495
262,525,495
263,525,494
265,525,492
267,526,491
268,527,491
270,529,491
271,529,490
273,530,488
275,532,488
277,532,487
278,533,487
279,533,486
281,534,486
282,534,484
284,536,484
285,536,483
287,537,483
289,537,482
290,538,482
291,538,480
293,538,479
294,540,479
295,542,479
296,542,477
298,543,477
299,543,476
300,545,476
301,545,474
303,546,474
304,546,473
305,548,473
307,549,471
309,549,470
310,550,470
312,552,470
313,552,468
314,554,468
316,554,467
317,555,467
318,555,465
319,557,465
321,557,464
322,558,464
323,560,462
326,561,461
327,563,461
329,564,461
330,564,459
332,564,458
333,566,458
334,567,458
335,567,456
337,569,456
338,569,455
340,570,455
342,570,454
343,571,454
345,573,454
348,574,453
351,574,452
353,574,451
354,575,451
356,577,451
358,578,451
362,578,450
364,579,450
365,579,448
370,580,448
373,580,447
374,581,447
381,583,447
387,583,446
388,584,446
392,584,445
398,585,445
400,585,444
404,586,444
407,586,443
412,587,443
420,587,442
487,587,442
