t,x,y
0,1123,691
6,1123,692
15,1122,692
18,1122,693
24,1121,693
28,1121,694
31,1120,694
34,1120,695
41,1120,696
45,1119,696
51,1118,697
58,1117,697
59,1117,698
65,1116,698
66,1116,699
71,1114,699
73,1114,700
80,1113,700
81,1113,702
85,1112,702
92,1112,703
96,1111,703
101,1111,704
107,1111,705
109,1110,705
117,1110,706
124,1110,707
125,1109,707
130,1109,708
141,1108,708
150,1108,709
154,1107,709
170,1107,710
173,1106,710
182,1105,710
183,1105,711
189,1103,711
193,1103,712
197,1102,712
209,1102,713
215,1101,713
256,1101,714
274,1101,714
290,1100,714
322,1100,715
400,1100,715
