t,x,y
0,950,755
2,951,755
5,951,754
6,953,754
8,953,752
13,954,752
16,955,752
18,955,751
20,956,751
21,957,751
24,957,750
28,958,750
30,958,749
36,959,749
37,959,748
42,960,748
48,961,748
193,961,749
195,961,750
197,961,751
201,961,752
204,961,753
207,961,754
211,961,755
214,961,756
216,961,757
219,961,758
223,961,759
226,962,759
228,962,760
231,962,761
237,962,762
239,963,762
241,963,763
244,963,764
247,963,765
252,964,766
257,964,767
258,966,767
259,966,769
263,966,770
266,966,771
269,966,772
273,966,773
278,966,774
279,967,774
282,967,775
285,967,776
290,967,777
295,967,778
296,968,778
298,968,780
300,968,781
310,968,782
440,968,782
