t,x,y
0,960,633
55,961,633
62,962,633
67,963,633
68,964,633
71,965,633
75,966,633
78,967,633
80,968,633
83,969,633
88,970,633
91,970,634
93,971,634
95,972,634
102,973,634
110,974,634
174,973,634
186,973,634
189,972,634
193,971,634
197,970,634
199,970,635
202,969,635
205,968,635
207,967,635
211,966,636
213,965,636
215,963,636
217,962,636
219,962,637
221,961,637
222,960,637
223,958,637
228,957,639
231,956,639
232,955,639
233,955,640
234,953,640
238,952,640
239,950,640
241,949,640
243,949,642
244,948,642
247,946,643
248,945,643
250,943,643
252,942,643
254,941,643
256,940,643
257,940,644
258,938,644
260,937,644
262,936,644
263,935,644
266,933,644
267,932,644
269,932,646
270,931,646
271,929,646
274,928,646
276,927,646
277,925,646
280,924,646
282,923,646
284,922,646
285,920,646
288,919,646
290,918,646
292,917,647
294,916,647
297,915,647
299,914,647
301,912,647
303,911,647
306,910,647
309,909,647
311,908,647
315,907,647
317,906,647
319,905,647
322,904,647
326,903,648
329,902,648
333,901,648
338,900,648
344,899,648
406,898,648
408,898,647
415,897,647
425,896,647
426,896,646
430,895,646
431,895,644
436,894,644
440,893,644
446,892,644
450,891,644
453,891,643
455,890,643
458,889,643
466,888,643
470,887,643
473,887,642
477,886,642
485,885,642
488,884,642
498,883,642
503,882,642
507,881,642
513,880,641
517,879,641
520,878,641
524,877,641
525,877,640
529,875,640
530,874,640
534,873,640
536,872,640
540,871,640
541,871,639
542,869,639
544,868,639
549,867,639
552,866,639
555,865,639
557,865,638
559,864,638
565,862,638
569,861,638
581,860,638
593,860,638
