t,x,y
0,1448,627
15,1449,627
25,1449,628
25,1450,628
30,1450,629
31,1452,629
32,1452,631
34,1452,632
35,1453,632
37,1453,634
40,1454,634
41,1454,635
43,1454,636
46,1454,637
47,1456,637
48,1456,639
49,1456,640
50,1457,640
53,1457,642
53,1457,643
55,1459,643
56,1459,644
58,1459,646
60,1460,646
61,1460,647
63,1460,648
65,1460,650
66,1461,650
67,1461,651
68,1461,653
71,1463,653
71,1463,654
73,1464,656
74,1464,657
78,1464,659
80,1464,660
81,1466,661
84,1466,663
85,1466,664
86,1467,664
87,1467,666
88,1469,666
89,1469,667
93,1469,669
94,1470,669
95,1470,670
97,1470,672
103,1470,673
103,1470,674
108,1470,675
109,1472,677
112,1472,678
115,1472,679
117,1472,680
120,1472,681
122,1472,682
126,1472,683
128,1472,684
131,1472,685
133,1472,686
135,1472,687
138,1472,688
141,1472,689
144,1472,690
147,1472,691
150,1472,692
152,1472,694
155,1472,695
159,1472,696
162,1472,697
164,1472,698
169,1472,699
172,1472,700
173,1470,700
176,1470,701
179,1470,702
184,1470,703
186,1469,703
191,1469,704
199,1469,705
205,1468,705
208,1468,706
218,1468,707
224,1468,708
232,1467,708
244,1466,708
245,1466,709
266,1466,710
267,1465,710
309,1465,711
319,1465,712
372,1465,712
