t,x,y
0,545,905
4,545,904
7,545,903
8,545,902
10,545,901
15,545,900
18,545,899
21,546,899
21,546,898
25,547,898
25,547,896
27,549,895
29,549,894
30,550,894
31,550,892
32,552,892
33,554,890
35,554,888
36,555,888
37,555,887
38,557,887
39,559,885
41,560,883
43,562,882
44,564,880
45,565,880
46,565,878
47,567,877
48,571,875
49,571,873
50,571,871
51,573,871
53,575,869
53,577,867
54,577,865
55,578,865
56,582,863
57,582,861
58,584,859
59,586,857
60,588,855
61,590,855
62,592,854
63,592,852
64,596,850
65,598,848
66,598,846
67,600,844
69,604,842
69,606,838
70,608,836
71,610,836
72,610,834
73,613,832
74,615,828
75,617,828
76,619,825
77,619,823
78,621,823
79,623,821
80,625,817
81,629,815
82,631,813
83,631,811
84,635,809
85,637,805
86,639,803
87,639,801
88,641,799
89,642,799
91,646,795
92,648,793
93,648,791
93,652,788
94,652,786
95,654,784
96,656,782
97,660,780
98,660,778
99,660,776
100,664,774
101,666,772
103,666,770
103,668,766
105,670,764
105,672,762
106,674,760
107,674,759
108,676,757
109,678,755
110,680,753
111,680,751
112,682,749
113,684,745
114,686,743
115,686,741
116,688,739
117,688,737
118,689,734
119,691,734
120,693,732
121,693,730
122,695,728
123,695,726
124,697,724
125,699,722
126,701,720
127,701,718
128,701,717
129,703,715
130,705,713
131,707,711
132,707,709
133,709,709
134,709,705
136,711,705
136,711,703
137,712,702
138,714,700
140,714,698
140,716,698
141,716,696
142,716,694
143,718,694
144,720,692
145,720,691
147,721,689
148,721,688
150,723,686
151,723,684
153,724,684
153,724,682
154,726,681
155,726,679
156,728,679
157,728,677
158,730,675
161,730,674
163,731,673
165,731,671
167,731,670
167,733,670
169,733,668
170,734,668
171,734,667
173,734,665
175,735,665
176,735,664
177,735,662
181,735,661
182,735,660
185,735,658
187,735,657
191,735,656
195,735,655
200,735,654
206,735,653
214,735,652
232,735,651
245,734,651
250,734,650
256,733,650
256,733,649
264,733,648
265,732,648
273,732,647
274,731,647
279,730,647
280,730,645
285,729,645
288,729,644
290,728,644
296,728,643
297,726,643
304,726,642
304,725,642
311,725,641
312,724,641
322,724,640
322,723,640
326,723,638
329,722,638
333,722,637
335,721,637
336,721,636
340,721,635
342,720,635
345,720,634
350,720,633
353,720,632
355,719,632
357,717,631
362,717,629
367,717,628
371,717,627
373,716,627
377,716,626
384,716,625
389,715,625
409,715,624
422,715,624
