t,x,y
0,1196,648
5,1196,649
9,1196,650
11,1196,651
13,1197,651
14,1197,655
18,1197,656
19,1197,658
21,1198,658
22,1198,659
24,1198,661
26,1198,662
27,1198,663
29,1198,664
30,1198,666
32,1198,667
33,1198,669
34,1200,669
36,1200,670
37,1200,671
38,1200,673
40,1200,674
42,1201,676
44,1201,677
45,1201,678
46,1203,678
47,1203,680
49,1203,681
50,1203,683
52,1203,684
53,1203,685
54,1205,687
56,1205,689
58,1205,690
60,1206,691
61,1206,693
63,1206,694
64,1206,695
65,1208,697
67,1208,699
69,1208,700
70,1208,701
71,1208,703
73,1208,704
74,1209,704
75,1209,706
76,1209,708
77,1209,709
79,1209,711
81,1209,712
82,1209,713
84,1209,715
85,1210,715
86,1210,716
87,1210,718
88,1210,720
90,1210,721
92,1210,722
94,1210,723
95,1210,725
97,1210,726
99,1210,727
100,1210,729
101,1210,730
103,1210,732
105,1210,733
106,1210,734
108,1210,735
110,1210,737
111,1210,738
112,1210,740
114,1210,741
116,1210,742
117,1210,743
118,1210,745
119,1210,747
120,1210,748
121,1210,750
123,1210,752
124,1210,753
126,1210,754
127,1210,756
128,1210,757
129,1209,757
130,1209,759
131,1209,761
132,1209,762
133,1209,764
135,1209,765
136,1209,767
137,1209,768
138,1209,770
140,1209,771
141,1207,773
142,1207,775
143,1207,777
145,1207,778
146,1207,779
147,1207,781
148,1207,783
150,1207,784
151,1207,785
152,1207,787
154,1207,788
155,1207,790
156,1207,791
156,1207,793
160,1209,795
161,1209,796
162,1209,798
163,1209,799
165,1209,801
166,1209,802
167,1209,804
169,1209,805
170,1209,806
172,1209,808
173,1209,809
174,1209,811
175,1209,812
176,1210,812
177,1210,814
179,1210,816
180,1210,817
181,1210,819
182,1210,820
183,1212,820
184,1212,822
185,1212,824
186,1212,825
188,1212,827
189,1212,828
190,1212,830
192,1212,831
193,1213,831
194,1213,833
195,1213,834
196,1213,836
198,1213,837
199,1213,839
200,1213,840
202,1213,842
204,1214,843
205,1214,845
206,1214,846
207,1214,848
208,1214,850
210,1214,851
211,1214,852
213,1216,854
214,1216,855
214,1216,857
217,1216,858
218,1216,860
218,1218,862
220,1218,863
222,1218,865
224,1218,866
225,1219,868
227,1219,869
228,1219,871
230,1219,872
231,1219,873
233,1219,875
234,1221,876
236,1221,878
237,1221,879
238,1223,879
239,1223,881
241,1223,882
242,1223,884
243,1223,885
245,1224,885
246,1224,887
249,1225,888
252,1225,889
253,1225,890
255,1227,892
257,1227,893
260,1227,894
261,1228,894
263,1228,896
265,1229,897
268,1231,897
270,1231,898
272,1231,899
273,1232,899
275,1232,900
278,1232,901
280,1233,901
282,1233,902
283,1234,902
284,1234,904
287,1236,905
292,1236,906
294,1237,906
296,1237,908
297,1238,908
299,1240,908
300,1240,909
306,1240,910
307,1241,910
309,1241,912
313,1242,912
316,1242,913
317,1243,913
321,1243,914
326,1243,915
327,1244,915
331,1244,916
336,1245,916
337,1245,917
340,1245,919
341,1247,919
345,1247,920
349,1247,921
354,1247,922
357,1247,923
360,1247,924
361,1248,924
363,1248,925
366,1248,926
370,1248,927
372,1249,927
373,1249,929
376,1249,930
379,1249,931
381,1250,931
383,1250,932
386,1250,933
389,1250,934
392,1250,935
396,1250,936
400,1250,937
402,1250,938
406,1250,939
410,1250,940
414,1251,940
415,1251,941
418,1251,943
422,1251,944
427,1251,945
434,1251,946
439,1251,947
444,1251,948
448,1251,949
454,1251,950
460,1251,951
463,1250,951
464,1250,952
471,1250,953
477,1250,954
478,1249,954
482,1249,956
501,1249,957
507,1248,957
563,1248,957
