t,x,y
0,1598,438
2,1598,437
4,1597,437
5,1597,436
6,1597,434
6,1595,434
9,1595,433
10,1594,433
12,1594,431
14,1592,430
17,1591,430
18,1591,429
19,1590,429
19,1590,427
22,1590,426
22,1588,426
25,1588,424
26,1587,424
27,1587,423
27,1585,423
28,1583,421
31,1583,419
32,1582,418
32,1580,418
34,1580,416
35,1578,416
36,1578,414
37,1577,414
38,1577,413
38,1575,413
40,1573,413
41,1571,411
42,1571,409
43,1569,407
45,1568,405
46,1566,405
46,1566,404
48,1565,404
49,1563,402
50,1561,400
51,1561,398
52,1559,398
53,1557,396
54,1555,396
55,1555,395
56,1554,393
57,1552,391
58,1550,391
59,1548,389
60,1546,387
61,1544,385
62,1542,385
63,1542,383
64,1540,383
64,1539,383
66,1537,381
67,1535,379
68,1533,377
69,1531,375
70,1529,375
71,1527,373
72,1525,371
73,1523,371
74,1523,370
75,1521,370
75,1520,368
77,1518,366
77,1516,366
79,1516,364
79,1512,362
81,1510,362
81,1510,361
82,1508,359
84,1506,359
85,1504,359
86,1503,357
87,1501,355
88,1499,353
89,1497,353
90,1495,351
91,1493,349
91,1491,349
92,1491,347
94,1487,345
94,1485,345
95,1483,344
97,1483,342
97,1481,340
99,1480,340
100,1478,340
101,1474,338
102,1474,336
102,1470,336
104,1470,334
105,1466,332
106,1464,332
107,1464,330
108,1460,328
109,1458,326
110,1457,326
110,1455,325
111,1453,323
112,1451,323
114,1449,321
114,1445,319
116,1443,317
116,1441,317
117,1439,315
119,1437,315
119,1436,313
121,1434,313
121,1434,311
123,1432,311
124,1428,309
125,1426,307
125,1424,307
126,1424,306
127,1423,306
129,1421,306
130,1421,304
131,1417,304
132,1417,302
133,1415,300
134,1413,300
135,1412,300
136,1412,299
137,1410,299
138,1408,297
139,1406,297
140,1406,295
141,1405,295
141,1405,293
143,1403,293
144,1401,292
146,1399,290
149,1398,290
150,1397,288
153,1395,287
154,1394,285
155,1392,285
157,1392,284
158,1390,284
159,1390,282
162,1389,281
163,1388,281
164,1388,279
165,1386,279
166,1386,277
167,1384,277
170,1384,276
170,1383,276
171,1383,274
173,1381,274
173,1381,273
176,1380,273
178,1379,273
179,1379,271
181,1379,270
182,1377,270
183,1377,269
187,1376,268
188,1375,268
190,1375,266
194,1375,265
195,1374,265
197,1372,263
201,1372,262
202,1371,262
205,1371,261
206,1370,261
209,1370,260
211,1369,260
213,1369,259
214,1368,259
217,1368,257
218,1366,256
221,1365,256
224,1365,255
225,1364,255
228,1363,255
228,1363,254
232,1361,254
233,1361,253
235,1360,253
239,1360,252
242,1359,252
246,1358,251
248,1358,250
250,1357,250
258,1356,250
260,1356,249
263,1355,249
269,1355,248
270,1354,248
277,1352,248
280,1352,247
286,1351,247
292,1351,246
294,1350,246
301,1350,245
311,1349,245
314,1349,244
326,1349,243
326,1348,243
334,1348,241
337,1347,241
341,1347,240
345,1346,240
348,1346,239
355,1345,238
366,1345,237
369,1344,237
372,1344,236
374,1343,236
380,1343,235
384,1342,235
386,1342,234
398,1342,233
405,1341,233
459,1341,233
